country_name,date2,pct_ca,ca,ccode,cn
Argentina,1955-01-01,.,.,ARG,213
Argentina,1955-04-01,.,.,ARG,213
Argentina,1955-07-01,.,.,ARG,213
Argentina,1955-10-01,.,.,ARG,213
Argentina,1956-01-01,.,.,ARG,213
Argentina,1956-04-01,.,.,ARG,213
Argentina,1956-07-01,.,.,ARG,213
Argentina,1956-10-01,.,.,ARG,213
Argentina,1957-01-01,.,.,ARG,213
Argentina,1957-04-01,.,.,ARG,213
Argentina,1957-07-01,.,.,ARG,213
Argentina,1957-10-01,.,.,ARG,213
Argentina,1958-01-01,.,.,ARG,213
Argentina,1958-04-01,.,.,ARG,213
Argentina,1958-07-01,.,.,ARG,213
Argentina,1958-10-01,.,.,ARG,213
Argentina,1959-01-01,.,.,ARG,213
Argentina,1959-04-01,.,.,ARG,213
Argentina,1959-07-01,.,.,ARG,213
Argentina,1959-10-01,.,.,ARG,213
Argentina,1960-01-01,.,.,ARG,213
Argentina,1960-04-01,.,.,ARG,213
Argentina,1960-07-01,.,.,ARG,213
Argentina,1960-10-01,.,.,ARG,213
Argentina,1961-01-01,.,.,ARG,213
Argentina,1961-04-01,.,.,ARG,213
Argentina,1961-07-01,.,.,ARG,213
Argentina,1961-10-01,.,.,ARG,213
Argentina,1962-01-01,.,.,ARG,213
Argentina,1962-04-01,.,.,ARG,213
Argentina,1962-07-01,.,.,ARG,213
Argentina,1962-10-01,.,.,ARG,213
Argentina,1963-01-01,.,.,ARG,213
Argentina,1963-04-01,.,.,ARG,213
Argentina,1963-07-01,.,.,ARG,213
Argentina,1963-10-01,.,.,ARG,213
Argentina,1964-01-01,.,.,ARG,213
Argentina,1964-04-01,.,.,ARG,213
Argentina,1964-07-01,.,.,ARG,213
Argentina,1964-10-01,.,.,ARG,213
Argentina,1965-01-01,.,.,ARG,213
Argentina,1965-04-01,.,.,ARG,213
Argentina,1965-07-01,.,.,ARG,213
Argentina,1965-10-01,.,.,ARG,213
Argentina,1966-01-01,.,.,ARG,213
Argentina,1966-04-01,.,.,ARG,213
Argentina,1966-07-01,.,.,ARG,213
Argentina,1966-10-01,.,.,ARG,213
Argentina,1967-01-01,.,.,ARG,213
Argentina,1967-04-01,.,.,ARG,213
Argentina,1967-07-01,.,.,ARG,213
Argentina,1967-10-01,.,.,ARG,213
Argentina,1968-01-01,.,.,ARG,213
Argentina,1968-04-01,.,.,ARG,213
Argentina,1968-07-01,.,.,ARG,213
Argentina,1968-10-01,.,.,ARG,213
Argentina,1969-01-01,.,.,ARG,213
Argentina,1969-04-01,.,.,ARG,213
Argentina,1969-07-01,.,.,ARG,213
Argentina,1969-10-01,.,.,ARG,213
Argentina,1970-01-01,.,.,ARG,213
Argentina,1970-04-01,.,.,ARG,213
Argentina,1970-07-01,.,.,ARG,213
Argentina,1970-10-01,.,.,ARG,213
Argentina,1971-01-01,.,.,ARG,213
Argentina,1971-04-01,.,.,ARG,213
Argentina,1971-07-01,.,.,ARG,213
Argentina,1971-10-01,.,.,ARG,213
Argentina,1972-01-01,.,.,ARG,213
Argentina,1972-04-01,.,.,ARG,213
Argentina,1972-07-01,.,.,ARG,213
Argentina,1972-10-01,.,.,ARG,213
Argentina,1973-01-01,.,.,ARG,213
Argentina,1973-04-01,.,.,ARG,213
Argentina,1973-07-01,.,.,ARG,213
Argentina,1973-10-01,.,.,ARG,213
Argentina,1974-01-01,.,.,ARG,213
Argentina,1974-04-01,.,.,ARG,213
Argentina,1974-07-01,.,.,ARG,213
Argentina,1974-10-01,.,.,ARG,213
Argentina,1975-01-01,.,.,ARG,213
Argentina,1975-04-01,.,.,ARG,213
Argentina,1975-07-01,.,.,ARG,213
Argentina,1975-10-01,.,.,ARG,213
Argentina,1976-01-01,.,.,ARG,213
Argentina,1976-04-01,.,.,ARG,213
Argentina,1976-07-01,.,.,ARG,213
Argentina,1976-10-01,.,.,ARG,213
Argentina,1977-01-01,.,.,ARG,213
Argentina,1977-04-01,.,.,ARG,213
Argentina,1977-07-01,.,.,ARG,213
Argentina,1977-10-01,.,.,ARG,213
Argentina,1978-01-01,.,.,ARG,213
Argentina,1978-04-01,.,.,ARG,213
Argentina,1978-07-01,.,.,ARG,213
Argentina,1978-10-01,.,.,ARG,213
Argentina,1979-01-01,.,.,ARG,213
Argentina,1979-04-01,.,.,ARG,213
Argentina,1979-07-01,.,.,ARG,213
Argentina,1979-10-01,.,.,ARG,213
Argentina,1980-01-01,.,.,ARG,213
Argentina,1980-04-01,.,.,ARG,213
Argentina,1980-07-01,.,.,ARG,213
Argentina,1980-10-01,.,.,ARG,213
Argentina,1981-01-01,.,.,ARG,213
Argentina,1981-04-01,.,.,ARG,213
Argentina,1981-07-01,.,.,ARG,213
Argentina,1981-10-01,.,.,ARG,213
Argentina,1982-01-01,.,.,ARG,213
Argentina,1982-04-01,.,.,ARG,213
Argentina,1982-07-01,.,.,ARG,213
Argentina,1982-10-01,.,.,ARG,213
Argentina,1983-01-01,.,.,ARG,213
Argentina,1983-04-01,.,.,ARG,213
Argentina,1983-07-01,.,.,ARG,213
Argentina,1983-10-01,.,.,ARG,213
Argentina,1984-01-01,.,.,ARG,213
Argentina,1984-04-01,.,.,ARG,213
Argentina,1984-07-01,.,.,ARG,213
Argentina,1984-10-01,.,.,ARG,213
Argentina,1985-01-01,1.75995137542486,.,ARG,213
Argentina,1985-04-01,-0.511667784303427,.,ARG,213
Argentina,1985-07-01,-0.350644905120134,.,ARG,213
Argentina,1985-10-01,-2.82476153224707,.,ARG,213
Argentina,1986-01-01,-0.72839711792767,.,ARG,213
Argentina,1986-04-01,-0.263586803339422,.,ARG,213
Argentina,1986-07-01,-0.356192304752767,.,ARG,213
Argentina,1986-10-01,-5.49932010471821,.,ARG,213
Argentina,1987-01-01,0.651904521510005,.,ARG,213
Argentina,1987-04-01,0.30796357896179,.,ARG,213
Argentina,1987-07-01,0.650282949209213,.,ARG,213
Argentina,1987-10-01,-8.46680328249931,.,ARG,213
Argentina,1988-01-01,-0.407677656039596,.,ARG,213
Argentina,1988-04-01,-0.180429534520954,.,ARG,213
Argentina,1988-07-01,0.0143551718792878,.,ARG,213
Argentina,1988-10-01,-1.6516575589776,.,ARG,213
Argentina,1989-01-01,0.415558973327279,.,ARG,213
Argentina,1989-04-01,0.291711883619428,.,ARG,213
Argentina,1989-07-01,-5.75744546949863,.,ARG,213
Argentina,1989-10-01,-14.6519541740417,.,ARG,213
Argentina,1990-01-01,13.9041215181351,.,ARG,213
Argentina,1990-04-01,8.55519771575928,.,ARG,213
Argentina,1990-07-01,8.4539532661438,.,ARG,213
Argentina,1990-10-01,2.77782175689936,.,ARG,213
Argentina,1991-01-01,-0.920895952731371,.,ARG,213
Argentina,1991-04-01,1.43845435231924,.,ARG,213
Argentina,1991-07-01,1.02890394628048,.,ARG,213
Argentina,1991-10-01,-2.82007306814194,.,ARG,213
Argentina,1992-01-01,-2.63168998062611,.,ARG,213
Argentina,1992-04-01,-1.49167142808437,.,ARG,213
Argentina,1992-07-01,-3.00415232777596,.,ARG,213
Argentina,1992-10-01,-3.03608346730471,.,ARG,213
Argentina,1993-01-01,-3.0718956142664,.,ARG,213
Argentina,1993-04-01,-2.14938018471003,.,ARG,213
Argentina,1993-07-01,-3.76767590641975,.,ARG,213
Argentina,1993-10-01,-5.02976290881634,.,ARG,213
Argentina,1994-01-01,-5.6991770863533,.,ARG,213
Argentina,1994-04-01,-3.34247052669525,.,ARG,213
Argentina,1994-07-01,-4.09239418804646,.,ARG,213
Argentina,1994-10-01,-4.46429550647736,.,ARG,213
Argentina,1995-01-01,-3.9012897759676,.,ARG,213
Argentina,1995-04-01,0.301658059470356,.,ARG,213
Argentina,1995-07-01,-1.56507585197687,.,ARG,213
Argentina,1995-10-01,-2.76287868618965,.,ARG,213
Argentina,1996-01-01,-3.27900424599648,.,ARG,213
Argentina,1996-04-01,-0.739952456206083,.,ARG,213
Argentina,1996-07-01,-2.42794193327427,.,ARG,213
Argentina,1996-10-01,-3.72417382895947,.,ARG,213
Argentina,1997-01-01,-4.44262512028217,.,ARG,213
Argentina,1997-04-01,-2.94477101415396,.,ARG,213
