Country,CC,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,-18659217.88,-22569832.4,-44301675.98,-46703910.61,-158156424.6,-209497206.7,43798882.68,41731843.58,81061452.51,-279329.6089,-69106145.25,-195810055.9,-18770949.72,-435513966.5,207145251.4,308759776.5,-340251396.6,-165553072.6,270888268.2,104963491.3,310555693.7,258268156.4,111731.8436,171675977.7,-460111731.8,-260558659.2,90837988.83,-322246518.3,-130013879.7,118342714.1,141178986.1,34628879.79,-19374275.53,84796821.76,-316455500,79257066.71,230555794.5,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,-99600000,53600000,-205800000,-67300000,-138800000,-450600000,-243200000,-537200000,-166900000,26200000,-143300000,,,,,,,,,,,,,,,,,,,-238376258.6,277627586.2,-577708206.8,-2246921171,-5150161881,-5095040597,-3232893168,-4192816423,-2708462935,-3554897942,-3896837604,-3791935256,-3136733353,,,
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,195000000,-303000000,447000000,-469000000,-132000000,-235500000,-579600000,-734776000,-668500000,-339800000,-295047000,3266378000,-883540000,-1867130000,-1710410000,795650000,-1430930000,-150093385.3,-719558880.5,681237662,5137882651,10689818936,10581250705,7194246953,-7571651746,7505954235,13084636207,13841185161,8145070112,-3747517596,-10272841903,-3085195463,-632867147.9,7402606519,5137394880,871917831.3,8399451649,11762879501,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,16000000,45000000,-66800000,-38300000,-28100000,-36400000,-3200000,5200000,-27100000,-39300000,-118300000,-168000000,-50700000,14900000,-157300000,-11500000,-107300000,-272232500,-65070000,-155400000,-156300000,-217400000,-407520000,-406814698.3,-357925427.3,-571475353.7,-670904254.7,-1150813004,-2013166061,-1852457562,-1355598479,-1667175109,-1256644800,-1184891052,-1425385680,-979825099.4,-900363040.5,-982237928.3,-1016226360,-1218856027,-1314583006,-1369694859,-1116775476,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568257241.8,448869294.4,467435297.1,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,,,,,,,,,,,,,,,,,651000000,1126000000,1856000000,-513000000,-4774000000,-4712000000,-2353000000,-2436000000,-2495000000,-952000000,-2859000000,-4235000000,-1572000000,-1305000000,4552000000,-647000000,-5547754559,-8205889940,-10979452970,-5117957254,-6769978160,-12138068595,-14481998042,-11942825328,-8980617893,-3780423241,8766610000,8139930000,3211790000,5273750000,6498802520,6048537893,5421206329,7254115684,-1622995871,-5340181192,-2138040360,-13124373786,-9179026267,-17621985168,-15104786525,-31151351751,-27083606451,-3492479581,2688362006,6644503789,-4290120085,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67730000,-103780000,-220677007,-322209053,-335738765,-416148343.9,-312542932.9,-301667882.5,-221164164.3,-147810525.6,-173510013.1,-78841446.25,-123899753.9,-152931434.5,-677270882.4,-1658884234,-1425501011,-1261431338,-1058869760,-1057931945,-813673760.5,-901811470.9,-280909482.7,-100882015.8,-145329440.9,-900475279.6,-961095046.7,-505386527.3,-482982405.9,150993896.1,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,-9600000,-2200000,-19500000,-18800000,-32700000,-41600000,-9100000,600000,-23100000,-118285185.2,-111285185.2,-45037037.04,-81648148.15,-30985185.19,-30922222.22,-9870370.37,15055555.56,-6344444.444,-518518.5185,-59440740.74,-47374074.07,-46770370.37,-60425901.11,-66773349.63,-56894814.81,-82406382.96,-97559289.26,-95101379.26,-171492877,-291763385.6,-385514557.4,-359171367.4,-169024819.3,-167107016.3,-117692907.8,-166821254.1,-204399948.9,3332296.25,29558778.17,-35264005.63,-117993531.5,-233662350.6,-119859392.5,-230678875.1,-243680079.6,-284521719.7,
