Country,Phi0,Tstat0,r0_stationary_pval,r0_expl_pval,reject_ha_stationary_r0,reject_ha_expl_r0,Phi1,Tstat1,r1_stationary_pval,r1_expl_pval,reject_ha_stationary_r1,reject_ha_expl_r1
Argentina,-0.5101,-3.889,0.0204,0.9796,TRUE,FALSE,-0.1715,-3.2953,0.0102,0.9898,TRUE,FALSE
Armenia,0.0216,1.054,0.7738,0.2262,FALSE,FALSE,-0.2006,-7.0214,0,1,TRUE,FALSE
Australia,-0.3357,-3.304,0.0233,0.9767,TRUE,FALSE,-0.1862,-4.4286,0,1,TRUE,FALSE
Austria,-0.0876,-0.82,0.5051,0.4949,FALSE,FALSE,-0.0515,-1.2264,0.5758,0.4242,FALSE,FALSE
Belarus,-0.6687,-3.946,0,1,TRUE,FALSE,0.0177,0.1276,0.6329,0.3671,FALSE,FALSE
Belgium,-0.7569,-3.476,0.046,0.954,TRUE,FALSE,-0.1665,-1.9054,0.092,0.908,TRUE,FALSE
Bolivia,-0.149,-3.833,0.1224,0.8776,FALSE,FALSE,0.029,0.8528,0.8776,0.1224,FALSE,FALSE
Brazil,-0.2298,-6.778,0.039,0.961,TRUE,FALSE,-0.1382,-5.0054,0.2987,0.7013,FALSE,FALSE
Bulgaria,0.1889,2.251,0.98,0.02,FALSE,TRUE,-0.195,-2.9896,0.08,0.92,TRUE,FALSE
Cambodia,0.2395,1.505,0.9462,0.0538,FALSE,TRUE,-0.1804,-0.9376,0.3333,0.6667,FALSE,FALSE
Canada,-0.0843,-0.729,0.4444,0.5556,FALSE,FALSE,-0.0533,-0.9327,0.4583,0.5417,FALSE,FALSE
Chile,-0.255,-7.979,0,1,TRUE,FALSE,0.1403,3.221,0.9694,0.0306,FALSE,TRUE
China,-0.4845,-2.243,0.092,0.908,TRUE,FALSE,-0.1298,-1.6328,0.2759,0.7241,FALSE,FALSE
Colombia,-0.2378,-1.367,0.0746,0.9254,TRUE,FALSE,-0.1475,-1.5129,0.0896,0.9104,TRUE,FALSE
Costa Rica,-0.6432,-4.348,0,1,TRUE,FALSE,-0.3558,-2.0762,0.0159,0.9841,TRUE,FALSE
Croatia,-0.2077,-2.526,0,1,TRUE,FALSE,0.099,1.1726,1,0,FALSE,TRUE
Czech Republic,-0.4806,-2.888,0.2319,0.7681,FALSE,FALSE,-0.0395,-0.2906,0.7681,0.2319,FALSE,FALSE
Denmark,-0.0096,-0.281,0.7551,0.2449,FALSE,FALSE,-0.0293,-0.5624,0.551,0.449,FALSE,FALSE
El Salvador,-1.372,-5.218,0,1,TRUE,FALSE,-0.4338,-3.3828,0,1,TRUE,FALSE
Estonia,-0.2229,-2.795,0.0543,0.9457,TRUE,FALSE,0.1391,2.5626,0.9891,0.0109,FALSE,TRUE
Finland,-0.4913,-3.893,0.0208,0.9792,TRUE,FALSE,0.0136,0.3301,0.875,0.125,FALSE,FALSE
France,-0.1912,-2.164,0.3265,0.6735,FALSE,FALSE,0.0768,0.5311,0.8776,0.1224,FALSE,FALSE
Georgia,-0.3189,-4.095,0,1,TRUE,FALSE,-0.6337,-4.6551,0,1,TRUE,FALSE
Germany,0.045,1.152,0.899,0.101,FALSE,FALSE,-0.0641,-1.6015,0.2929,0.7071,FALSE,FALSE
Greece,-0.0685,-1.367,0.1231,0.8769,FALSE,FALSE,-0.9312,-4.9327,0,1,TRUE,FALSE
Guatemala,-0.4375,-5.606,0.011,0.989,TRUE,FALSE,-0.6152,-2.1712,0.033,0.967,TRUE,FALSE
Hong Kong,-0.0171,-3.785,0.191,0.809,FALSE,FALSE,-0.1252,-31.1377,0.0225,0.9775,TRUE,FALSE
Hungary,-0.0862,-1.167,0.4022,0.5978,FALSE,FALSE,0.0198,0.1677,0.75,0.25,FALSE,FALSE
Iceland,0.0229,0.234,0.8295,0.1705,FALSE,FALSE,-0.9712,-4.7708,0,1,TRUE,FALSE
India,-0.4611,-2.665,0.0645,0.9355,TRUE,FALSE,-0.1384,-1.7395,0.1183,0.8817,FALSE,FALSE
Indonesia,-0.0681,-2.184,0.2353,0.7647,FALSE,FALSE,-0.1246,-3.6304,0.1882,0.8118,FALSE,FALSE
Ireland,-0.5496,-3.826,0.09,0.91,TRUE,FALSE,0.0869,0.9168,0.79,0.21,FALSE,FALSE
Israel,-0.0208,-0.679,0.2211,0.7789,FALSE,FALSE,-0.5144,-3.1146,0.0947,0.9053,TRUE,FALSE
Italy,-0.0161,-0.288,0.5354,0.4646,FALSE,FALSE,-0.2328,-6.6174,0,1,TRUE,FALSE
Japan,-0.0267,-0.481,0.2716,0.7284,FALSE,FALSE,-0.1136,-2.5953,0.1111,0.8889,FALSE,FALSE
Kazakhstan,-2.4404,-1.826,0.05,0.95,TRUE,FALSE,-0.6744,-2.7835,0.05,0.95,TRUE,FALSE
Kyrgyz Republic,-0.8089,-3.158,0.05,0.95,TRUE,FALSE,-0.4713,-4.7975,0.01,0.99,TRUE,FALSE
Latvia,0.1672,1.352,0.8243,0.1757,FALSE,FALSE,-0.1835,-2.9941,0.027,0.973,TRUE,FALSE
Lithuania,0.0708,2.391,0.7979,0.2021,FALSE,FALSE,-0.3251,-9.996,0,1,TRUE,FALSE
Luxembourg,-0.965,-4.749,0.0101,0.9899,TRUE,FALSE,-1.3441,-4.6172,0.0202,0.9798,TRUE,FALSE
Malaysia,-0.1587,-1.785,0.1053,0.8947,FALSE,FALSE,0.0101,0.2201,0.9474,0.0526,FALSE,TRUE
Mauritius,0.1545,2.289,1,0,FALSE,TRUE,-0.399,-3.1887,0,1,TRUE,FALSE
Mexico,-0.1084,-2.337,0.0313,0.9688,TRUE,FALSE,0.1216,0.6624,0.6979,0.3021,FALSE,FALSE
Moldova,-0.0447,-0.395,0.2703,0.7297,FALSE,FALSE,-0.4045,-2.7197,0,1,TRUE,FALSE
Netherlands,-0.2828,-2.838,0.0779,0.9221,TRUE,FALSE,-0.0283,-0.3981,0.5455,0.4545,FALSE,FALSE
New Zealand,-0.542,-9.809,0,1,TRUE,FALSE,-0.0818,-1.6895,0.0638,0.9362,TRUE,FALSE
Norway,-0.0675,-0.779,0.2069,0.7931,FALSE,FALSE,-0.0893,-1.9524,0.092,0.908,TRUE,FALSE
Paraguay,-0.8641,-3.148,0.0674,0.9326,TRUE,FALSE,-0.1693,-0.4244,0.573,0.427,FALSE,FALSE
Peru,-0.1244,-0.923,0.4889,0.5111,FALSE,FALSE,-0.0972,-0.7025,0.3667,0.6333,FALSE,FALSE
Philippines,-0.0382,-0.398,0.3626,0.6374,FALSE,FALSE,-0.4945,-0.5991,0.2637,0.7363,FALSE,FALSE
Poland,-0.4904,-2.648,0.0638,0.9362,TRUE,FALSE,-0.1695,-1.2821,0.234,0.766,FALSE,FALSE
Portugal,0.0042,0.135,0.9302,0.0698,FALSE,TRUE,-0.1929,-3.9874,0.0233,0.9767,TRUE,FALSE
Romania,-0.0074,-0.251,0.4405,0.5595,FALSE,FALSE,-0.3759,-12.1058,0,1,TRUE,FALSE
Russia,-0.118,-1.967,0.197,0.803,FALSE,FALSE,0.0233,0.2669,0.7727,0.2273,FALSE,FALSE
Slovak Republic,-0.1045,-0.272,0.4348,0.5652,FALSE,FALSE,-0.2101,-1.3764,0.0978,0.9022,TRUE,FALSE
Slovenia,0.0197,0.164,0.9368,0.0632,FALSE,TRUE,-0.0244,-0.3949,0.1474,0.8526,FALSE,FALSE
South Africa,-0.5266,-1.327,0.2609,0.7391,FALSE,FALSE,-0.1104,-1.9473,0.1957,0.8043,FALSE,FALSE
South Korea,-0.173,-1.686,0.1707,0.8293,FALSE,FALSE,-0.1752,-3.8934,0,1,TRUE,FALSE
Spain,-0.0306,-1.137,0.7396,0.2604,FALSE,FALSE,-0.2224,-3.0882,0.25,0.75,FALSE,FALSE
Sri Lanka,-0.1297,-2.153,0.0633,0.9367,TRUE,FALSE,-0.3835,-5.8634,0.0127,0.9873,TRUE,FALSE
Sweden,-0.0222,-0.678,0.58,0.42,FALSE,FALSE,-0.0973,-0.7383,0.26,0.74,FALSE,FALSE
Switzerland,-0.1178,-3.272,0.0313,0.9688,TRUE,FALSE,-0.3178,-6.584,0.0729,0.9271,TRUE,FALSE
Taiwan,0.1857,1.05,0.68,0.32,FALSE,FALSE,-0.2286,-6.0626,0,1,TRUE,FALSE
Thailand,-0.0197,-1.217,0.69,0.31,FALSE,FALSE,-0.1581,-4.2464,0.17,0.83,FALSE,FALSE
Turkey,-0.2265,-2.571,0.0543,0.9457,TRUE,FALSE,-0.2603,-4.4042,0,1,TRUE,FALSE
United Kingdom,-0.0719,-0.954,0.4444,0.5556,FALSE,FALSE,-0.0538,-0.915,0.4646,0.5354,FALSE,FALSE
United States,-0.0087,-0.568,0.2254,0.7746,FALSE,FALSE,-0.0804,-3.227,0.0423,0.9577,TRUE,FALSE
Uruguay,-0.7333,-3.298,0.2317,0.7683,FALSE,FALSE,-0.0414,-0.7887,0.5732,0.4268,FALSE,FALSE
Venezuela,-0.5421,-2.009,0.0484,0.9516,TRUE,FALSE,-0.0877,-0.872,0.3226,0.6774,FALSE,FALSE
Vietnam,-0.1591,-1.184,0.519,0.481,FALSE,FALSE,-0.1793,-0.6298,0.519,0.481,FALSE,FALSE
