Year,Algeria,Antigua and Barbuda,"Armenia, Rep. of",Australia,Austria,"Bahamas, The","Bahrain, Kingdom of",Belgium,Bulgaria,Burundi,Cameroon,Canada,Central African Rep.,Chile,"China, P.R.: Mainland",Colombia,"Congo, Dem. Rep. of the",Costa Rica,Côte d'Ivoire,"Croatia, Rep. of",Cyprus,Czech Rep.,Denmark,Dominica,Dominican Rep.,"Equatorial Guinea, Rep. of",Euro Area,"Fiji, Rep. of",Finland,France,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Grenada,Guyana,Hungary,Iceland,"Iran, Islamic Rep. of",Ireland,Israel,Italy,Japan,Latvia,"Lesotho, Kingdom of",Luxembourg,Malawi,Malaysia,Malta,Mexico,"Moldova, Rep. of",Morocco,"Netherlands, The",New Zealand,Nicaragua,Nigeria,"North Macedonia, Republic of",Norway,Samoa,Saudi Arabia,Sierra Leone,Singapore,Slovak Rep.,Solomon Islands,South Africa,Spain,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Sweden,Switzerland,Togo,Trinidad and Tobago,Tunisia,Uganda,Ukraine,United Kingdom,United States,Uruguay,"Venezuela, Rep. Bolivariana de",Zambia
1979,,128.01,,,97.79,,,118.19,,189.00,,93.98,,,,,,,,,,,98.54,109.63,,,,,112.74,,,,,121.25,,,92.49,,,139.60,208.36,82.66,93.92,,,,,110.40,,164.20,102.84,,,,111.23,85.27,,,,93.15,104.21,,,96.26,,130.61,151.22,,102.25,98.73,112.20,143.23,93.09,,76.66,226.79,,,119.27,,,,
1980,314.50,132.34,,92.32,97.87,101.12,174.72,113.03,,174.11,137.44,92.34,203.11,163.96,269.91,136.65,,141.13,132.22,,111.62,,91.90,112.04,143.71,,110.86,169.82,116.76,118.90,223.20,270.00,,114.65,664.84,83.98,96.22,826.89,,146.77,228.11,88.03,95.90,97.37,73.84,,204.11,107.81,200.42,158.31,108.32,120.83,,,107.42,84.52,,288.40,,94.57,110.44,240.88,266.43,95.92,,138.34,165.34,94.04,101.77,100.37,111.29,147.59,85.71,157.19,78.64,221.05,"2,202.83",,139.45,105.86,106.38,80.55,
1981,349.37,145.11,,100.26,94.67,106.26,193.46,105.03,,210.13,126.32,96.96,177.46,194.38,242.23,147.58,,76.91,113.64,,107.86,,87.58,121.09,146.10,,94.24,174.63,120.00,113.61,198.79,258.65,,104.84,"1,482.35",87.17,111.26,896.67,,153.05,271.82,87.42,97.63,93.82,78.93,,199.68,104.95,205.18,159.09,117.55,137.48,,,99.70,85.90,,320.85,,98.13,114.82,241.94,304.87,101.43,,147.63,174.13,88.72,105.14,110.16,117.66,147.74,85.00,155.86,86.56,221.09,"1,564.52",,143.84,116.70,120.52,90.33,
1982,365.46,149.89,,100.66,95.94,109.17,216.70,95.80,,231.33,123.50,103.49,174.56,175.32,231.09,157.23,,78.85,103.48,,105.34,,85.90,125.13,147.91,,92.61,175.33,123.46,108.46,200.58,259.89,,106.76,"1,851.27",90.45,118.10,"1,014.69",,140.37,318.16,94.35,102.18,94.93,71.57,,195.29,98.74,198.04,169.17,121.50,98.69,,,102.72,88.42,,329.05,,102.30,117.01,247.00,373.61,106.37,,151.97,165.00,88.54,108.00,113.00,121.89,133.04,89.97,149.41,95.94,220.02,542.94,,138.71,130.54,125.55,97.67,
1983,383.30,154.17,,98.60,95.95,112.43,224.68,94.72,,249.58,128.42,108.09,179.07,143.57,227.14,156.14,,95.49,96.72,,103.10,,86.64,133.14,141.28,,91.07,174.48,119.80,104.45,197.41,261.93,,107.42,"3,053.88",83.61,124.49,"1,186.13",,129.86,376.68,95.69,111.28,100.14,77.51,,205.53,98.87,202.33,177.14,118.34,86.97,,,101.30,85.29,,389.45,,101.47,107.34,244.48,444.71,107.69,,137.72,181.52,77.67,109.17,114.80,126.31,120.51,91.44,146.84,109.89,217.50,429.56,,127.39,136.65,78.15,103.45,
1984,417.56,162.38,,101.72,96.80,115.66,229.86,94.13,,231.51,130.69,106.06,168.77,142.37,202.45,145.57,,98.23,96.09,,102.15,,85.12,144.07,98.51,,87.26,176.90,123.79,102.73,189.46,248.90,,102.69,483.64,81.07,132.80,"1,221.13",,138.49,424.45,95.75,104.49,100.99,80.91,,203.28,99.38,214.70,184.04,116.78,101.88,,,97.88,79.15,,536.95,,99.88,102.80,239.62,561.24,109.44,,139.09,160.20,80.00,111.25,119.41,128.35,126.33,88.55,133.34,126.17,217.46,293.48,,121.83,145.07,76.27,72.87,
1985,449.84,160.80,,85.61,96.46,118.12,223.40,95.30,,236.68,136.59,102.30,179.93,120.46,171.85,127.27,,100.94,96.37,,102.31,,86.21,148.08,113.55,125.36,87.98,179.37,124.70,105.30,195.41,266.95,,99.94,351.60,78.43,132.93,"1,258.15",,137.24,252.00,97.12,102.42,100.59,82.93,,195.53,99.86,204.08,174.89,113.25,104.72,,,95.66,80.67,,482.79,,98.79,93.46,223.39,491.66,106.74,,126.93,121.58,81.51,110.85,116.39,127.12,129.05,86.89,127.53,131.92,215.00,384.39,,124.14,150.20,73.56,72.73,
1986,415.36,141.43,,74.88,100.68,114.28,182.01,99.25,,203.05,151.21,92.57,188.81,101.42,124.14,94.37,,93.29,115.43,,98.21,,91.72,137.37,104.03,105.52,103.25,161.32,123.89,109.08,212.78,191.86,,105.82,222.83,73.49,123.80,"1,190.56",,136.90,166.75,104.67,99.80,107.70,106.31,,194.00,100.56,182.64,146.84,107.18,73.14,,,101.03,81.57,311.23,263.80,,97.34,86.88,170.73,330.02,91.02,,107.31,112.22,86.72,106.97,109.40,125.02,128.24,92.70,137.27,91.27,184.56,401.15,,115.57,126.12,72.30,68.14,
1987,367.45,131.94,,74.72,103.42,111.91,157.35,102.38,,173.67,169.17,92.72,174.39,93.15,107.23,84.20,,89.43,128.37,,93.29,,95.90,130.31,85.05,91.27,110.48,137.08,127.00,110.37,209.00,202.26,,109.28,165.29,75.19,111.31,614.73,,148.03,185.14,102.91,96.75,110.85,111.97,,187.32,100.41,164.88,139.19,103.79,67.36,,,102.97,94.24,"2,784.22",84.01,,99.34,83.18,145.18,151.88,85.43,,92.93,126.73,90.26,100.40,107.34,119.28,127.90,96.25,136.36,84.58,147.83,511.85,,115.40,113.54,70.15,42.69,
1988,304.04,132.86,,82.66,103.11,110.69,145.82,100.14,,153.06,164.46,97.97,160.96,87.50,117.21,81.67,,84.34,131.36,,92.44,,95.93,125.45,71.24,87.44,106.02,116.97,131.43,108.40,180.86,222.34,,107.06,151.83,77.34,109.50,270.96,,155.73,217.52,101.16,106.72,109.97,118.71,,184.95,99.76,180.29,126.54,103.38,83.61,,102.70,101.05,101.12,39.61,85.31,,102.14,83.32,136.00,178.69,83.74,,95.69,120.61,94.52,95.16,101.77,115.11,131.78,95.05,129.41,79.95,132.87,470.45,,118.91,107.35,67.17,52.09,50.25
