Country,Regime Type Start,Regime Type End,gsur_movingsum Start,gsur_movingsum End,ln_opn Start,ln_opn End,ka_open Start,ka_open End,fixed Start,fixed End,ryg Start,ryg End,rypc_ppp Start,rypc_ppp End,ir_r_lmf Start,ir_r_lmf End,nfa_r Start,nfa_r End,income Start,income End,pc_gdp Start,pc_gdp End,banking Start,banking End,currency Start,currency End,debt Start,debt End,Availability Start,Availability End
Argentina,1985,2022,1985,2022,1985,2020,1985,2020,1985,2020,1985,2021,1985,2019,1985,2022,1985,2022,1985,2021,1985,2017,1985,2021,1985,2021,1985,2021,1985,2017
Armenia,1994,2020,2007,2020,1994,2020,1996,2020,1994,2020,1994,2020,1994,2019,1994,2020,1996,2020,1994,2020,1994,2020,1994,2020,1994,2020,1994,2020,2007,2019
Australia,1959,2022,1971,2022,1960,2020,1970,2020,1961,2020,1961,2021,1959,2019,1970,2022,1970,2022,1960,2021,1960,2021,1970,2021,1970,2021,1970,2021,1971,2019
Austria,1970,2022,1970,2022,1970,2020,1970,2020,1970,2020,1970,2021,1970,2019,1970,2022,1970,2022,1970,2021,1970,2021,1970,2021,1970,2021,1970,2021,1970,2019
Belarus,1996,2020,2003,2020,1996,2020,1996,2020,1996,2020,1996,2020,1996,2019,1996,2020,1996,2020,1996,2020,2009,2020,1996,2020,1996,2020,1996,2020,2009,2019
Belgium,1995,2022,1995,2022,1995,2020,1995,2020,1995,2020,1995,2021,1995,2019,1995,2022,1995,2022,1995,2021,1995,2021,1995,2021,1995,2021,1995,2021,1995,2019
Bolivia,1985,2019,1985,2019,1985,2019,1985,2019,1985,2019,1985,2019,1985,2019,1985,2019,1985,2019,1985,2019,1985,2019,1985,2019,1985,2019,1985,2019,1985,2019
Brazil,1978,2022,1978,2022,1978,2020,1978,2020,1978,2020,1978,2021,1978,2019,1978,2022,1978,2022,1978,2021,1978,2021,1978,2021,1978,2021,1978,2021,1978,2019
Bulgaria,1994,2020,2000,2020,1994,2020,1994,2020,1994,2020,1994,2020,1994,2019,1994,2020,1994,2020,1994,2020,1994,2020,1994,2020,1994,2020,1994,2020,2000,2019
Cambodia,1994,2021,1998,2021,1994,2020,1995,2020,1994,2020,1994,2021,1994,2019,1994,2021,1994,2021,1994,2021,1994,2021,1994,2021,1994,2021,1994,2021,1998,2019
Canada,1961,2022,1972,2022,1961,2020,1970,2020,1961,2020,1961,2021,1961,2019,1970,2022,1970,2022,1961,2021,2001,2008,1970,2021,1970,2021,1970,2021,2001,2008
