        country  Mean CAB/GDP%    SD CAB/GDP%   Min CAB/GDP%   Max CAB/GDP%     Start Date       End Date              N

      Argentina        -0.6078         3.8786       -13.3865        13.8512         1985q1         2022q2            150 
        Armenia       -11.0285         9.2498       -52.7592         0.9401         1994q1         2020q3            107 
      Australia        -2.9833         2.2412        -7.2683         3.7056         1959q3         2022q2            252 
        Austria         0.0661         2.3414        -6.2883         6.4022         1970q1         2022q2            210 
        Belarus        -4.9018         4.8076       -17.7686         9.2106         1996q1         2020q1             97 
        Belgium         1.9516         2.9958        -7.0882         7.5028         1995q1         2022q2            110 
        Bolivia        -2.0648         6.8536       -17.9404        14.1289         1985q1         2019q4            140 
         Brazil        -1.9575         2.0947        -6.2400         2.0019         1978q1         2022q2            178 
       Bulgaria        -3.8801         7.9808       -32.3956        10.7096         1994q1         2020q1            105 
       Cambodia        -8.1478         8.5254       -58.2746         5.4171         1994q1         2021q4            112 
         Canada        -1.7541         1.9548        -5.1958         3.7150         1961q1         2022q2            246 
          Chile        -2.1435         3.4649       -11.1944         7.4228         1991q1         2022q3            127 
          China         2.8400         2.7315        -2.3722        11.2019         1991q1         2022q2            126 
       Colombia        -3.0628         2.0572        -6.9404         1.2257         1996q1         2022q2            106 
     Costa Rica        -3.9854         1.9537       -12.2796         0.4081         1999q1         2022q2             94 
        Croatia        -3.6318         4.5343       -14.1599         5.2792         1994q4         2020q1            102 
 Czech Republic        -2.0242         2.8441        -7.9930         7.4062         1993q1         2022q2            118 
        Denmark         2.1904         4.4003        -6.1550        12.5039         1977q1         2022q2            182 
    El Salvador        -3.9516         2.6108       -10.0425         1.2847         1999q1         2020q1             85 
        Estonia        -4.2365         6.2124       -17.8159         6.5714         1993q1         2022q2            118 
        Finland         0.5271         3.6157        -7.2580         9.1366         1975q1         2022q2            190 
         France         0.0795         1.2029        -3.4042         4.5527         1975q1         2022q2            190 
        Georgia       -10.0883         4.6614       -28.0946        -3.7629         1997q1         2020q1             93 
        Germany         2.8143         3.3961        -2.7851         9.2113         1971q1         2022q2            206 
         Greece        -4.8819         3.8953       -16.8124         2.6458         1976q1         2022q2            186 
      Guatemala        -3.5483         2.9435       -13.0721         5.7474         1977q1         2020q1            173 
      Hong Kong         6.9041         4.7232        -1.6496        19.8570         1999q1         2020q1             85 
        Hungary        -3.2956         4.9018       -17.7361         5.3383         1989q4         2022q2            131 
        Iceland        -3.2482         7.2221       -33.1314        10.7054         1976q1         2022q2            186 
          India        -1.3005         1.6259        -6.1882         9.0912         1960q1         2022q2            250 
      Indonesia        -0.8323         3.1803       -13.3792         8.1629         1981q1         2022q3            167 
        Ireland        -0.4951        10.0589       -56.2741        20.5038         1990q1         2022q2            130 
         Israel        -1.3948         5.6389       -16.8268        16.2568         1972q1         2022q2            202 
          Italy         0.0516         2.0649        -5.1667         5.0391         1970q1         2022q2            210 
          Japan         2.4469         1.3341        -1.8270         4.7557         1977q1         2022q3            183 
     Kazakhstan        -1.6534         5.1159       -12.4180        11.8581         1995q1         2020q1            101 
Kyrgyz Republic        -9.0635         9.7960       -34.8278        16.0610         1993q1         2021q4            116 
         Latvia        -3.7067         8.1371       -25.0265        24.6364         1993q1         2022q2            117 
      Lithuania        -4.1299         5.8553       -18.6946        10.3122         1993q1         2022q2            118 
     Luxembourg         6.6040         9.0242       -27.2030        45.0281         1995q1         2022q2            110 
       Malaysia         8.5503         4.9182         1.6530        17.9894         1999q1         2020q1             85 
      Mauritius        -4.4541         4.9181       -16.1750         6.9307         2000q1         2020q1             81 
         Mexico        -1.6183         2.2627        -8.6407         5.9660         1979q1         2022q2            174 
        Moldova        -8.5637         5.8819       -23.1110         9.9451         1995q1         2020q1            101 
    Netherlands         4.8163         3.2431        -8.0687        14.4121         1977q1         2022q2            182 
    New Zealand        -4.3573         3.0050       -16.0222         0.7024         1980q1         2022q2            170 
         Norway         5.2611         7.7520       -16.7059        22.0753         1975q1         2022q2            190 
       Paraguay         0.9375         3.5003        -5.6038        12.4337         2000q1         2020q4             84 
           Peru        -3.4594         3.4185       -11.3796         6.3489         1979q1         2020q1            165 
    Philippines        -0.8408         3.8850       -11.8340         9.1488         1977q2         2020q1            165 
         Poland        -2.7885         3.3304        -8.7196        17.7074         1985q1         2022q2            150 
       Portugal        -4.3273         5.2796       -21.4097         4.6818         1977q1         2022q2            182 
        Romania        -5.5511         3.8598       -21.5330         2.6206         1991q1         2020q1            117 
         Russia         5.6475         4.4504        -2.4487        19.5391         1994q1         2021q3            111 
Slovak Republic        -3.9051         4.3384       -12.9266        11.8739         1993q1         2022q2            118 
       Slovenia         0.7498         3.8379       -11.3602        10.6632         1995q1         2022q2            110 
   South Africa        -1.0181         3.2900       -10.5247        11.3189         1960q1         2022q2            250 
    South Korea         0.9591         4.4799       -13.0170        15.6419         1976q1         2022q2            186 
          Spain        -1.8497         3.1212       -10.1037         3.6397         1975q1         2022q2            190 
      Sri Lanka        -4.4388         4.1344       -17.2700         4.7396         1977q1         2021q1            177 
         Sweden         2.2679         3.4760        -5.5059         9.4828         1975q1         2022q2            190 
    Switzerland         5.7393         3.7166        -6.3061        14.8749         1972q1         2022q2            202 
         Taiwan         7.7064         4.8409        -5.1876        22.5620         1981q1         2019q4            156 
       Thailand        -0.3247         6.2418       -12.5609        13.4317         1976q1         2019q4            176 
         Turkey        -2.5195         2.9366        -9.4310         6.4476         1987q1         2022q2            142 
 United Kingdom        -1.4119         2.0016        -7.1829         3.8056         1955q1         2022q2            270 
  United States        -1.6596         1.8446        -6.2996         1.2142         1960q1         2022q2            250 
        Uruguay        -1.3086         2.0097        -7.5705         3.5436         1999q1         2020q1             85 
      Venezuela         6.0338         6.9382        -7.2500        20.1815         1994q1         2014q4             84 
        Vietnam        -0.9855         5.7197       -29.6258         8.7595         1996q1         2021q4            104 
