        country  Mean CAB/GDP%   Min CAB/GDP%   Max CAB/GDP%    SD CAB/GDP%     Start Date       End Date              N

      Argentina        -0.6078       -13.3865        13.8512         3.8786         1985q1         2022q2            150 
        Armenia       -11.0285       -52.7592         0.9401         9.2498         1994q1         2020q3            107 
      Australia        -2.9833        -7.2683         3.7056         2.2412         1959q3         2022q2            252 
        Austria         0.0661        -6.2883         6.4022         2.3414         1970q1         2022q2            210 
        Belarus        -4.9018       -17.7686         9.2106         4.8076         1996q1         2020q1             97 
        Belgium         1.9516        -7.0882         7.5028         2.9958         1995q1         2022q2            110 
        Bolivia        -2.0648       -17.9404        14.1289         6.8536         1985q1         2019q4            140 
         Brazil        -1.9575        -6.2400         2.0019         2.0947         1978q1         2022q2            178 
       Bulgaria        -3.8801       -32.3956        10.7096         7.9808         1994q1         2020q1            105 
       Cambodia        -8.1478       -58.2746         5.4171         8.5254         1994q1         2021q4            112 
         Canada        -1.7541        -5.1958         3.7150         1.9548         1961q1         2022q2            246 
          Chile        -2.1435       -11.1944         7.4228         3.4649         1991q1         2022q3            127 
          China         2.8400        -2.3722        11.2019         2.7315         1991q1         2022q2            126 
       Colombia        -3.0628        -6.9404         1.2257         2.0572         1996q1         2022q2            106 
     Costa Rica        -3.9854       -12.2796         0.4081         1.9537         1999q1         2022q2             94 
        Croatia        -3.6318       -14.1599         5.2792         4.5343         1994q4         2020q1            102 
 Czech Republic        -2.0242        -7.9930         7.4062         2.8441         1993q1         2022q2            118 
        Denmark         2.1904        -6.1550        12.5039         4.4003         1977q1         2022q2            182 
    El Salvador        -3.9516       -10.0425         1.2847         2.6108         1999q1         2020q1             85 
        Estonia        -4.2365       -17.8159         6.5714         6.2124         1993q1         2022q2            118 
        Finland         0.5271        -7.2580         9.1366         3.6157         1975q1         2022q2            190 
         France         0.0795        -3.4042         4.5527         1.2029         1975q1         2022q2            190 
        Georgia       -10.0883       -28.0946        -3.7629         4.6614         1997q1         2020q1             93 
        Germany         2.8143        -2.7851         9.2113         3.3961         1971q1         2022q2            206 
         Greece        -4.8819       -16.8124         2.6458         3.8953         1976q1         2022q2            186 
      Guatemala        -3.5483       -13.0721         5.7474         2.9435         1977q1         2020q1            173 
      Hong Kong         6.9041        -1.6496        19.8570         4.7232         1999q1         2020q1             85 
        Hungary        -3.2956       -17.7361         5.3383         4.9018         1989q4         2022q2            131 
        Iceland        -3.2482       -33.1314        10.7054         7.2221         1976q1         2022q2            186 
          India        -1.3005        -6.1882         9.0912         1.6259         1960q1         2022q2            250 
      Indonesia        -0.8323       -13.3792         8.1629         3.1803         1981q1         2022q3            167 
        Ireland        -0.4951       -56.2741        20.5038        10.0589         1990q1         2022q2            130 
         Israel        -1.3948       -16.8268        16.2568         5.6389         1972q1         2022q2            202 
          Italy         0.0516        -5.1667         5.0391         2.0649         1970q1         2022q2            210 
          Japan         2.4469        -1.8270         4.7557         1.3341         1977q1         2022q3            183 
     Kazakhstan        -1.6534       -12.4180        11.8581         5.1159         1995q1         2020q1            101 
Kyrgyz Republic        -9.0635       -34.8278        16.0610         9.7960         1993q1         2021q4            116 
         Latvia        -3.7067       -25.0265        24.6364         8.1371         1993q1         2022q2            117 
      Lithuania        -4.1299       -18.6946        10.3122         5.8553         1993q1         2022q2            118 
     Luxembourg         6.6040       -27.2030        45.0281         9.0242         1995q1         2022q2            110 
       Malaysia         8.5503         1.6530        17.9894         4.9182         1999q1         2020q1             85 
      Mauritius        -4.4541       -16.1750         6.9307         4.9181         2000q1         2020q1             81 
         Mexico        -1.6183        -8.6407         5.9660         2.2627         1979q1         2022q2            174 
        Moldova        -8.5637       -23.1110         9.9451         5.8819         1995q1         2020q1            101 
    Netherlands         4.8163        -8.0687        14.4121         3.2431         1977q1         2022q2            182 
    New Zealand        -4.3573       -16.0222         0.7024         3.0050         1980q1         2022q2            170 
         Norway         5.2611       -16.7059        22.0753         7.7520         1975q1         2022q2            190 
       Paraguay         0.9375        -5.6038        12.4337         3.5003         2000q1         2020q4             84 
           Peru        -3.4594       -11.3796         6.3489         3.4185         1979q1         2020q1            165 
    Philippines        -0.8408       -11.8340         9.1488         3.8850         1977q2         2020q1            165 
         Poland        -2.7885        -8.7196        17.7074         3.3304         1985q1         2022q2            150 
       Portugal        -4.3273       -21.4097         4.6818         5.2796         1977q1         2022q2            182 
        Romania        -5.5511       -21.5330         2.6206         3.8598         1991q1         2020q1            117 
         Russia         5.6475        -2.4487        19.5391         4.4504         1994q1         2021q3            111 
Slovak Republic        -3.9051       -12.9266        11.8739         4.3384         1993q1         2022q2            118 
       Slovenia         0.7498       -11.3602        10.6632         3.8379         1995q1         2022q2            110 
   South Africa        -1.0181       -10.5247        11.3189         3.2900         1960q1         2022q2            250 
    South Korea         0.9591       -13.0170        15.6419         4.4799         1976q1         2022q2            186 
          Spain        -1.8497       -10.1037         3.6397         3.1212         1975q1         2022q2            190 
      Sri Lanka        -4.4388       -17.2700         4.7396         4.1344         1977q1         2021q1            177 
         Sweden         2.2679        -5.5059         9.4828         3.4760         1975q1         2022q2            190 
    Switzerland         5.7393        -6.3061        14.8749         3.7166         1972q1         2022q2            202 
         Taiwan         7.7064        -5.1876        22.5620         4.8409         1981q1         2019q4            156 
       Thailand        -0.3247       -12.5609        13.4317         6.2418         1976q1         2019q4            176 
         Turkey        -2.5195        -9.4310         6.4476         2.9366         1987q1         2022q2            142 
 United Kingdom        -1.4119        -7.1829         3.8056         2.0016         1955q1         2022q2            270 
  United States        -1.6596        -6.2996         1.2142         1.8446         1960q1         2022q2            250 
        Uruguay        -1.3086        -7.5705         3.5436         2.0097         1999q1         2020q1             85 
      Venezuela         6.0338        -7.2500        20.1815         6.9382         1994q1         2014q4             84 
        Vietnam        -0.9855       -29.6258         8.7595         5.7197         1996q1         2021q4            104 
