country,Mean CAB/GDP%,SD CAB/GDP%,Min CAB/GDP%,Max CAB/GDP%,Start Date,End Date,N
Argentina,-0.695049337332226,3.97098428446294,-13.386549,13.851215,1985-01-01,2020-01-01,141
Armenia,-11.1145826358571,9.31683405037721,-52.759248,0.940090088873196,1994-01-01,2020-01-01,105
Australia,-3.19411588223854,1.9797441159246,-7.26834997468494,2.29096021834422,1959-07-01,2020-01-01,243
Austria,0.0192214910665812,2.36747012101259,-6.2882833,6.40223228200261,1970-01-01,2020-01-01,201
Belarus,-4.90178532907487,4.80759731382969,-17.7686061027578,9.2105768,1996-01-01,2020-01-01,97
Belgium,2.17324795890949,2.89519612494868,-5.38833222170376,7.50280349553706,1995-01-01,2020-01-01,101
Bolivia,-2.06484628547673,6.8535892445762,-17.9404109716415,14.1288850778556,1985-01-01,2019-10-01,140
Brazil,-1.98624455596479,2.12904707218677,-6.23999983072281,2.00194413285004,1978-01-01,2020-01-01,169
Bulgaria,-3.88007826087022,7.98082510411805,-32.3956429868872,10.7095952528431,1994-01-01,2020-01-01,105
Cambodia,-6.78029775320967,3.41213499404917,-16.5621095022101,0.592496790578631,1994-01-01,2020-01-01,105
Canada,-1.80829780723633,1.96577879620929,-5.1957784,3.71502812359773,1961-01-01,2020-01-01,237
Chile,-1.82998121109839,3.2183372062665,-9.298435,7.4227855909783,1991-01-01,2020-01-01,117
China,2.89405003603556,2.8240425816127,-2.37215310335159,11.2018962910162,1991-01-01,2020-01-01,117
Colombia,-2.87765563731092,2.0178996983699,-6.94042907733316,1.2256595,1996-01-01,2020-01-01,97
Costa Rica,-4.10388219277581,1.96327451686253,-12.2795567583382,0.0658694116247085,1999-01-01,2020-01-01,85
Croatia,-3.63180129841039,4.53426263799906,-14.1598678534574,5.2792142631646,1994-10-01,2020-01-01,102
Czech Republic,-2.13441478694309,2.76082380093956,-7.99300006571355,4.93945348377313,1993-01-01,2020-01-01,109
Denmark,1.82309763335756,4.17818465494551,-6.154988,10.0070648969873,1977-01-01,2020-01-01,173
El Salvador,-3.95161901519645,2.6108204429546,-10.0425200509308,1.28474162212333,1999-01-01,2020-01-01,85
Estonia,-4.48619555694785,6.23413871895386,-17.8158797993153,6.5714069,1993-01-01,2020-01-01,109
Finland,0.550347157125218,3.65759840186632,-7.2580031,9.13658307863948,1975-01-01,2020-01-01,181
France,0.107291068181616,1.18776118624792,-3.4042264,4.55270510500358,1975-01-01,2020-01-01,181
Georgia,-10.088310787306,4.66138688014901,-28.0946025496376,-3.76288033021456,1997-01-01,2020-01-01,93
Germany,2.64189309199724,3.35335723796526,-2.7851326,9.21132442059734,1971-01-01,2020-01-01,197
Greece,-4.80110400505715,3.95331938861868,-16.8123987302258,2.64584512830681,1976-01-01,2020-01-01,177
Guatemala,-3.5482600145641,2.94348318020362,-13.072056,5.7473973,1977-01-01,2020-01-01,173
Hong Kong,6.9040838405758,4.72317269243002,-1.64962346560641,19.8570114026668,1999-01-01,2020-01-01,85
Hungary,-3.27808714968902,5.00333115887908,-17.736059,5.3383479,1989-10-01,2020-01-01,122
Iceland,-3.37476526801703,7.36601987267529,-33.1313531238223,10.7053585049031,1976-01-01,2020-01-01,177
India,-1.33397594366291,1.59261483317584,-6.18824652614489,9.0911693,1960-01-01,2020-01-01,241
Indonesia,-0.907199908434037,3.26142149848594,-13.3792385458946,8.1629179418087,1981-01-01,2020-01-01,157
Ireland,-1.38182022803911,9.73276757814051,-56.274052243079,19.151668251365,1990-01-01,2020-01-01,121
Israel,-1.67208439893694,5.61212237418989,-16.826794,16.256758,1972-01-01,2020-01-01,193
Italy,-0.064570227460301,1.99035096150281,-5.1666974,4.00759231804893,1970-01-01,2020-01-01,201
Japan,2.41506765802602,1.33131057552962,-1.8270288,4.75569506337552,1977-01-01,2020-01-01,173
Kazakhstan,-1.65342863182117,5.11587032277774,-12.4180027724496,11.858095527475,1995-01-01,2020-01-01,101
Kyrgyz Republic,-9.51570560267092,9.15215854089193,-34.8277875020903,9.51162795138969,1993-01-01,2020-01-01,109
Latvia,-3.82147545380018,8.35382843052657,-25.0264751030187,24.636431,1993-01-01,2020-01-01,108
Lithuania,-4.62241979943138,5.66888306902385,-18.6946460640531,10.31219701807,1993-01-01,2020-01-01,109
Luxembourg,6.66440988972015,9.02884828491056,-27.2030136457419,45.028097642057,1995-01-01,2020-01-01,101
Malaysia,8.55026013318806,4.91821719880372,1.6529966889237,17.9893771215152,1999-01-01,2020-01-01,85
Mauritius,-4.45410411845217,4.91806174966862,-16.1750153218094,6.93071812251536,2000-01-01,2020-01-01,81
Mexico,-1.73070050069679,2.1684253747755,-8.6406752,3.9115993,1979-01-01,2020-01-01,165
Moldova,-8.56366473663712,5.88190864562079,-23.110968,9.94505102123556,1995-01-01,2020-01-01,101
Netherlands,4.74698668673358,3.29367732054601,-8.06867062105559,14.4120718230016,1977-01-01,2020-01-01,173
New Zealand,-4.32595922435461,2.99495947344094,-16.022226,0.702386872202884,1980-01-01,2020-01-01,161
Norway,4.96289003434493,7.55810172318242,-16.7059391736984,18.8712948017914,1975-01-01,2020-01-01,181
Paraguay,0.874278573387422,3.52522813502817,-5.60378494116694,12.43374799963,2000-01-01,2020-01-01,81
Peru,-3.45944030242908,3.4184904061279,-11.379611,6.3489063,1979-01-01,2020-01-01,165
Philippines,-0.840848246726612,3.88499330805166,-11.83403,9.14878982237016,1977-04-01,2020-01-01,165
Poland,-2.93568846891369,3.29432537213381,-8.7195718,17.707357,1985-01-01,2020-01-01,141
Portugal,-4.49008647282074,5.36463550676755,-21.409748,4.6817764,1977-01-01,2020-01-01,173
Romania,-5.5510533864144,3.85978000001369,-21.532955,2.62055140519385,1991-01-01,2020-01-01,117
Russia,5.73953838021362,4.51101408505361,-2.4486981,19.539102,1994-01-01,2020-01-01,105
Slovak Republic,-4.08802250588012,4.2974176771902,-12.9266037094622,11.873868,1993-01-01,2020-01-01,109
Slovenia,0.467281927707599,3.7082004081091,-11.3601995234828,9.77727291735315,1995-01-01,2020-01-01,101
South Africa,-1.15169019064092,3.24782984419343,-10.5247255023205,11.3188614503674,1960-01-01,2020-01-01,241
South Korea,0.775635238739929,4.50021077053083,-13.0170256731676,15.6419195275558,1976-01-01,2020-01-01,177
Spain,-1.98045964613197,3.13940151158304,-10.103668354907,3.63970526869159,1975-01-01,2020-01-01,181
Sri Lanka,-4.50559314485148,4.15394016486836,-17.2699711263096,4.73959122454475,1977-01-01,2020-01-01,173
Sweden,2.13685592049212,3.49543856705858,-5.5059317,9.4827669156015,1975-01-01,2020-01-01,181
Switzerland,5.75804286776203,3.6732070082212,-3.80807218793204,14.8748926184157,1972-01-01,2020-01-01,193
Taiwan,7.70641867737216,4.84085407982513,-5.1875814,22.562031,1981-01-01,2019-10-01,156
Thailand,-0.324690902078384,6.24179849045414,-12.560901,13.4317220754886,1976-01-01,2019-10-01,176
Turkey,-2.43523419088797,2.96062457458767,-9.43100836859202,6.4476348,1987-01-01,2020-01-01,133
United Kingdom,-1.34142697027865,1.95112336576285,-6.94384513203205,3.8056088687731,1955-01-01,2020-01-01,261
United States,-1.58536398165842,1.83564202022522,-6.29961180050335,1.21415162245067,1960-01-01,2020-01-01,241
Uruguay,-1.3085766169051,2.00973981896094,-7.57053738209598,3.54363844150375,1999-01-01,2020-01-01,85
Venezuela,6.03379472511773,6.93822554163283,-7.25001593222814,20.1815028233696,1994-01-01,2014-10-01,84
Vietnam,-1.15694707721611,5.74402791262064,-29.6258165118032,7.69975286219126,1996-01-01,2020-01-01,97
