year,country_name,cn,ccode,Pct CAB,current,Regime Type,idc,ldc,emg,eap,eca,mena,sa,we,na,ssa,lac,oil,emg2,fc,ez,euro_start,Regime,Phi0,Phi1,current_phi,Country,opn,tr,tr_g,tr_imp,reserves_st_debt,st_debt,current_v,exch_rate,mscps,dcps,pop,ccode_2,ae,emde,emde_excl_China,eap_emde,eca_emde,sar_emde,ssa_emde,lac_emde,mna_emde,com_imp_emde,com_exp_emde,world,eap_excl_china,mna_oil_exp,mna_oil_imp,ssa_ind_com_exp,ssa_other_emde,bric,euro,emde_excl_BRIC,com_im_no_bric,com_ex_no_bric,emde_tre,emde_ergy_exp,emde_mtl_exp,natl_saving,rypc_ppp,gsur,country_name_2,kaopen,ka_open,reer,d_reer,d_reer_sd5,d_reer_mn5,d_reer_var5,cv5_d_reer,fd,trend_fd,fd_gap,mineral,fuel,food,manufact,commod_exp,man_dummy,food_dummy,fuel_dummy,cab_def
2015-01-01,albania,914,ALB,-8.659108975,-0.0854237452149391,Unit root,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.597529046,-0.503453094,-0.597529046,Albania,0.712794482707977,3138517990,3084875026,7.03758382797241,37.1557655334473,57.138973236084,-979825099.4,125.961669921875,0.352200508117676,0.368808776140213,2880703,ALB,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.158040001988411,13234.83984375,-0.0431800000369549,Albania,-0.170562565326691,0.417621493339539,93.1600036621094,0.0367824472486973,0.0576049238443375,0.0598106980323792,0.0035150102339685,0.963120758533478,-1.04355466365814,-0.985992193222046,-0.0575624704360962,0.0754584297537804,0.0880663841962814,0.0564320459961891,0.526648819446564,0.219956859946251,1,0,0,1
2016-01-01,albania,914,ALB,-7.587874675,-0.0751011669635773,Unit root,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.597529046,-0.503453094,-0.503453094,Albania,0.740144491195679,3108607052,3050641047,6.54350233078003,36.5028495788574,60.1387023925781,-900363040.5,124.142501831055,0.343303680419922,0.362098604440689,2876101,ALB,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.167959988117218,13695.453125,-0.0149800004437566,Albania,-0.170562565326691,0.417621493339539,97.4300003051758,0.011152220889926,0.0715683251619339,0.056940108537674,0.0119296340271831,1.25690531730652,-1.06913983821869,-1.00164437294006,-0.0674954652786255,0.088053323328495,0.11175062507391,0.0826601609587669,0.662799000740051,0.282464116811752,1,0,0,1
2017-01-01,albania,914,ALB,-7.414202325,-0.0740849375724792,Unit root,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.597529046,-0.503453094,-0.597529046,Albania,0.767873823642731,3588583657,3523758657,6.57489538192749,36.6137886047363,59.8848533630371,-982237928.3,119.099998474121,0.320856273174286,0.341324657201767,2873457,ALB,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.170849993824959,14229.26171875,-0.0140599999576807,Albania,-0.170562565326691,0.417621493339539,100.949996948242,0.0639326944947243,0.0788920521736145,0.013633637689054,0.00341256218962371,5.78657388687134,-1.13676202297211,-1.02283239364624,-0.113929629325867,0.0505886897444725,0.00824033189564943,0.09685979783535,0.549465835094452,0.15568882226944,1,0,0,1
2018-01-01,albania,914,ALB,-6.720958525,-0.0660766437649727,Unit root,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.597529046,-0.503453094,-0.503453094,Albania,0.75694078207016,3893560031,3829477531,6.37055730819702,40.3443717956543,23.4919967651367,-1016226360,107.989166259766,0.302085667848587,0.325073599815369,2866376,ALB,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.171089991927147,14837.75,-0.0162000004202127,Albania,-0.170562565326691,0.417621493339539,109.919998168945,0.205674663186073,0.0844828188419342,0.0610020011663437,0.00833254680037498,1.38491880893707,-1.19704461097717,-1.04636561870575,-0.150678992271423,0.0202773325145245,0.0166266616433859,0.090747207403183,0.46027809381485,0.127651199698448,0,0,0,1
2019-01-01,albania,914,ALB,-7.851291125,-0.0782064348459244,Unit root,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.597529046,-0.503453094,-0.597529046,Albania,0.75382125377655,3763661059,3626591059,5.94458818435669,40.5817527770996,22.593505859375,-1218856027,109.850830078125,0.311027079820633,0.337255984544754,2854191,ALB,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.147419989109039,15212.185546875,-0.0186600014567375,Albania,-0.170562565326691,0.417621493339539,110.580001831055,0.0593474060297012,0.0962724909186363,-0.00818118639290333,0.00868929550051689,11.7675466537476,-1.16787528991699,-1.07019233703613,-0.0976829528808594,0.0310433618724346,0.00602741353213787,0.103757403790951,0.501991450786591,0.140828177332878,1,0,0,1
2020-01-01,albania,914,ALB,-8.62169975,-0.0862504839897156,Unit root,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.597529046,-0.503453094,-0.503453094,Albania,0.595207095146179,4817386149,4647187149,9.16482353210449,45.9795989990234,20.004810333252,-1314583006,108.650001525879,0.350263029336929,0.377193421125412,2837849,ALB,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.139909997582436,14794.576171875,-0.0670000016689301,Albania,-1.24815011024475,0.162561476230621,113.139999389648,0.00318725942634046,0.094647154211998,0.0319695435464382,0.00258192070759833,2.96054124832153,-1.04907083511353,-1.09376776218414,0.0446969270706177,0.0408685579895973,0.00905736442655325,0.136045128107071,0.551793336868286,0.185971051454544,1,0,0,1
2021-01-01,albania,914,ALB,-7.6355994,-0.0759590789675713,Unit root,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.597529046,-0.503453094,-0.597529046,Albania,0.755903244018555,5634561134,5470752134,7.75053215026855,50.9695816040039,21.7657775878906,-1369694859,103.519996643066,0.337246984243393,0.364341288805008,2811666,ALB,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0.166609987616539,16262.5986328125,-0.0459700003266335,Albania,-0.170562565326691,0.417621493339539,114.790000915527,0.175953596830368,0.0703464448451996,0.0162116084247828,0.00947641860693693,4.33926391601562,-1.08693969249725,-1.1175240278244,0.0305843353271484,0.0247454307973385,0.000239145127125084,0.108534425497055,0.427204489707947,0.133518993854523,0,0,0,1
2022-01-01,albania,914,ALB,-5.94318235,-0.0587243586778641,Unit root,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.597529046,-0.503453094,-0.503453094,Albania,0.846980571746826,5266463584,5085228584,6.33655977249146,50.5409393310547,24.3596477508545,-1116775476,113.041664123535,0.313563376665115,0.337912440299988,2777689,ALB,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.179890006780624,17260.9609375,-0.0365800000727177,Albania,-0.170562565326691,0.417621493339539,118.910003662109,0.38442400097847,0.120767757296562,0.065830409526825,0.0333503969013691,1.83452844619751,-1.15975379943848,-1.14144599437714,-0.0183078050613403,0.000613901705946773,0.00408202316612005,0.0876513570547104,0.34513783454895,0.0923472791910172,0,0,0,1
2023-01-01,albania,914,ALB,-1.4596640575,-0.0119632175192237,Unit root,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.597529046,-0.503453094,-0.597529046,Albania,0.824936807155609,6455445543,6228581543,6.73099422454834,56.8063278198242,19.4189071655273,-281700033.3,100.644996643066,0.298720717430115,0.323894411325455,2745972,ALB,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.23131999373436,18037.013671875,-0.0135199995711446,,.,.,135.289993286133,0.214139506220818,0.226026564836502,0.0373597294092178,0.0532570146024227,6.0500054359436,-1.2082462310791,-1.16521334648132,-0.0430328845977783,.,.,.,.,.,0,0,0,1
2024-01-01,albania,914,ALB,-2.50588831666667,-0.0237733796238899,Unit root,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.597529046,-0.503453094,-0.597529046,Albania,0.790707647800446,6515581528,6228580528,6.04191589355469,.,.,-646106646.8,93.1233367919922,0.313666552305222,0.338952243328094,2714617,ALB,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.239999994635582,18811.439453125,-0.0219400003552437,,.,.,139.809997558594,-0.0997743234038353,0.221105962991714,0.043387807905674,0.00728447549045086,5.09603881835938,-1.15942478179932,-1.18868792057037,0.0292631387710571,.,.,.,.,.,0,0,0,1
