Year,country_name,cn,Regime,Regime Type,Phi0,Phi1,current_phi,Country,adv,emg,lid,g7,g20,adv_g20,emg_g20,ea,emg_mi_asia,emg_mi_europe,emg_mi_lam,emg_mi_n_africa,emg_mi_africa,lidc_asis,lidc_lam,lidc_sub_africa,lidc,lidc_oil,oil
2015,albania,914,0,Unit root,-0.597529046,-0.503453094,-0.597529046,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,albania,914,1,Unit root,-0.597529046,-0.503453094,-0.503453094,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,albania,914,0,Unit root,-0.597529046,-0.503453094,-0.597529046,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,albania,914,1,Unit root,-0.597529046,-0.503453094,-0.503453094,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,albania,914,0,Unit root,-0.597529046,-0.503453094,-0.597529046,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,albania,914,1,Unit root,-0.597529046,-0.503453094,-0.503453094,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,albania,914,0,Unit root,-0.597529046,-0.503453094,-0.597529046,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,albania,914,1,Unit root,-0.597529046,-0.503453094,-0.503453094,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,albania,914,0,Unit root,-0.597529046,-0.503453094,-0.597529046,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,albania,914,0,Unit root,-0.597529046,-0.503453094,-0.597529046,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1986,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1987,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1988,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1989,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1990,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1991,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1992,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1993,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1994,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1995,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1996,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1997,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1998,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1999,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2000,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2001,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2002,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2003,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2004,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2005,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2006,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
