country_name,Phi0,Tstat0,Phi1,Tstat1,Phi0_0,Phi1_0
albania,-0.597529046,-1.972247475,-0.503453094,-1.647180524,0,0
argentina,-0.387064184,-2.810734865,-0.06880437,-0.942778157,0,0
armenia,-0.234206246,-10.28517614,0.032718292,1.537948939,0,1
australia,-0.322707032,-3.558886433,-0.205916781,-4.941361517,0,0
austria,-0.011138482,-0.219329347,-0.141345736,-2.086093403,0,0
belarus,-0.703185602,-5.739493095,0.067309502,0.588854343,0,1
belgium,-1.587132782,-8.586656795,-0.150121895,-2.804217348,0,0
bolivia,-0.224751115,-2.408734385,-0.241234361,-4.115402574,0,0
bosnia and herzegovina,-0.232713292,-0.341738927,-0.486825762,-0.341460397,0,0
brazil,-0.202731167,-4.634424416,-0.439101501,-6.418733866,0,0
bulgaria,0.013049961,0.254913312,-0.498284396,-3.94102266,1,0
cambodia,-0.024154266,-0.136728883,-0.159574571,-0.760122526,0,0
canada,-0.07103427,-1.262493067,-0.016479956,-0.070289363,0,0
chile,-1.057275044,-6.887245154,-0.403793648,-4.608376774,0,0
china,0,0,0,0,0,0
colombia,0,0,0,0,0,0
costa rica,-0.350693446,-1.416083913,-0.836840916,-1.615187719,0,0
croatia,-0.042036287,-0.734581484,-0.357925697,-3.604457198,0,0
cyprus,-0.097759429,-0.36738335,-0.186103802,-0.392011647,0,0
czech republic,-0.287518486,-0.766543015,-0.121551344,-0.607219929,0,0
denmark,-0.137433932,-4.431636399,0.022919522,1.244560415,0,1
el salvador,-0.148932696,-0.838093844,-0.227360043,-1.186991318,0,0
estonia,-0.978177291,-2.888705948,-0.170599431,-3.993469265,0,0
finland,-0.059064566,-1.217647255,-0.06224548,-0.345181993,0,0
france,-0.114772859,-2.230062696,-0.594049302,-7.793484303,0,0
georgia,-0.203302466,-2.440721525,-0.120417656,-1.290462687,0,0
germany,-0.12162034,-3.291192193,0.038166334,1.619850916,0,1
greece,-0.585703695,-3.515497581,-0.072454517,-1.562496852,0,0
guatemala,0.045798507,0.213743595,-0.082309558,-1.489026858,1,0
hong kong  china,0.322037052,2.494284737,-0.264983811,-2.490040339,1,0
hungary,0.086489761,2.195272956,-0.269401006,-6.262152769,1,0
iceland,-0.244021724,-1.255927191,0.056541491,0.43849313,0,1
india,-0.164076098,-2.234093866,-0.521044056,-3.067896354,0,0
indonesia,-0.085230997,-1.872942233,-0.127078083,-3.696225305,0,0
ireland,-0.71442724,-3.795453728,-0.215638874,-3.452148173,0,0
israel,0.152377283,1.773544986,-0.075100208,-1.853201121,1,0
italy,-0.176142165,-1.828482167,-0.148121993,-2.832277402,0,0
japan,-0.023911261,-0.513665965,-0.126188679,-3.752406971,0,0
kazakhstan,-0.372254221,-0.509784133,-0.462830481,-0.512366851,0,0
korea  rep.,-0.125510477,-3.302043789,-0.240089481,-2.626024767,0,0
kyrgyz republic,-0.395443393,-8.742805985,-0.586164214,-6.097531602,0,0
latvia,-0.179024674,-3.205055373,-0.075001975,-0.903381919,0,0
lithuania,0.082790492,2.189209342,-0.086230522,-1.485622247,1,0
luxembourg,-2.036737739,-8.154650519,-1.942572802,-3.664793596,0,0
macedonia  fyr,-0.885473244,-1.366177266,-1.581269028,-1.202940114,0,0
malaysia,0.130345845,1.838673107,-0.055510306,-1.846493368,1,0
malta,0.031774,0.268791025,-0.221591952,-2.551127993,1,0
mauritius,-0.398517461,-9.311896141,0.198647544,3.462799186,0,1
mexico,-0.586246947,-3.197342566,-0.112424406,-2.838004673,0,0
moldova,0.026577441,0.232389083,-0.114890719,-1.420792266,1,0
montenegro,-0.152055886,-0.573397664,-0.178826761,-0.591295979,0,0
netherlands,-0.184012384,-2.510194711,-0.017762377,-0.223244718,0,0
new zealand,-0.532208568,-8.18305683,-0.103912514,-2.007673643,0,0
norway,-0.004001469,-0.096867508,-0.170823675,-4.240436625,0,0
paraguay,-0.745996608,-0.480762895,-0.6812391,-1.892068448,0,0
peru,-0.290219444,-5.528858976,-0.359183726,-4.051158081,0,0
philippines,-0.522442284,-2.168672709,0.000142914,0.001416352,0,1
poland,-0.061289821,-0.477605536,-0.344067678,-2.254820737,0,0
portugal,-0.18640903,-3.595540626,0.007082771,0.222755598,0,1
romania,-0.348503257,-5.894083768,0.002110314,0.04366564,0,1
russian federation,-0.181646176,-2.504894683,-0.050675007,-0.875445967,0,0
saudi arabia,-0.574210749,-3.810511396,-0.153154298,-2.272380951,0,0
slovak republic,-0.20274023,-1.509962777,0.118046888,0.360899522,0,1
slovenia,-0.13349576,-1.150972799,0.00066243,0.007956584,0,1
south africa,-0.13964464,-3.31917803,-0.163895163,-0.313336181,0,0
spain,-0.179247339,-2.951874822,-0.035154009,-1.319567171,0,0
sri lanka,-0.546855412,-7.219978094,-1.1754554,-9.616891834,0,0
sweden,-0.017642269,-0.494626755,-0.043883168,-0.6624056,0,0
switzerland,-0.430322565,-6.58575759,-0.018650475,-0.398260833,0,0
taiwan,0.040050788,0.679598132,-0.207340506,-4.972829493,1,0
thailand,-0.157126319,-2.396533409,-0.030607273,-0.718942234,0,0
turkey,-1.095606566,-7.035872557,-0.18119106,-2.538278313,0,0
united kingdom,-0.330185746,-2.941818618,-0.062982435,-0.957784719,0,0
united states,-0.077139115,-5.028907505,0.008050205,0.532668531,0,1
uruguay,-0.106883696,-0.94386275,-0.296945654,-1.064900528,0,0
venezuela  rb,0.121450331,1.580786641,-0.668215214,-4.349301432,1,0
vietnam,-0.746860412,-17.98214996,-0.17997525,-5.139411111,0,0
