ccode,cn,country_name,Date,pct_cab,source
USA,111,united states,1960-Q1,0.2579941,1
USA,111,united states,1960-Q2,0.391809,1
USA,111,united states,1960-Q3,0.6128987,1
USA,111,united states,1960-Q4,0.8204414,1
USA,111,united states,1961-Q1,0.9093277,1
USA,111,united states,1961-Q2,0.6523324,1
USA,111,united states,1961-Q3,0.594718,1
USA,111,united states,1961-Q4,0.5738772,1
USA,111,united states,1962-Q1,0.4350073,1
USA,111,united states,1962-Q2,0.696242,1
USA,111,united states,1962-Q3,0.6311707,1
USA,111,united states,1962-Q4,0.4782126,1
USA,111,united states,1963-Q1,0.5424082,1
USA,111,united states,1963-Q2,0.7615696,1
USA,111,united states,1963-Q3,0.6337246,1
USA,111,united states,1963-Q4,0.8257664,1
USA,111,united states,1964-Q1,1.140602,1
USA,111,united states,1964-Q2,0.8999903,1
USA,111,united states,1964-Q3,0.9970652,1
USA,111,united states,1964-Q4,0.9533657,1
USA,111,united states,1965-Q1,0.7004834,1
USA,111,united states,1965-Q2,0.8638836,1
USA,111,united states,1965-Q3,0.6966288,1
USA,111,united states,1965-Q4,0.6679994,1
USA,111,united states,1966-Q1,0.4936323,1
USA,111,united states,1966-Q2,0.3920589,1
USA,111,united states,1966-Q3,0.2366899,1
USA,111,united states,1966-Q4,0.372494,1
USA,111,united states,1967-Q1,0.4150823,1
USA,111,united states,1967-Q2,0.3142584,1
USA,111,united states,1967-Q3,0.2602767,1
USA,111,united states,1967-Q4,0.2151028,1
USA,111,united states,1968-Q1,0.08621192,1
USA,111,united states,1968-Q2,0.1408475,1
USA,111,united states,1968-Q3,0.05847554,1
USA,111,united states,1968-Q4,-0.02107373,1
USA,111,united states,1969-Q1,0.04912734,1
USA,111,united states,1969-Q2,-0.05193158,1
USA,111,united states,1969-Q3,0.01864157,1
USA,111,united states,1969-Q4,0.1375528,1
USA,111,united states,1970-Q1,0.2359208,1
USA,111,united states,1970-Q2,0.3642581,1
USA,111,united states,1970-Q3,0.1896766,1
USA,111,united states,1970-Q4,0.08157206,1
USA,111,united states,1971-Q1,0.2406718,1
USA,111,united states,1971-Q2,-0.1414893,1
USA,111,united states,1971-Q3,-0.1820536,1
USA,111,united states,1971-Q4,-0.3941873,1
USA,111,united states,1972-Q1,-0.5502967,1
USA,111,united states,1972-Q2,-0.5334938,1
USA,111,united states,1972-Q3,-0.3982749,1
USA,111,united states,1972-Q4,-0.3401299,1
USA,111,united states,1973-Q1,0.04210557,1
USA,111,united states,1973-Q2,0.2469787,1
USA,111,united states,1973-Q3,0.7635451,1
USA,111,united states,1973-Q4,0.9166227,1
USA,111,united states,1974-Q1,0.4324008,1
USA,111,united states,1974-Q2,0.02875712,1
USA,111,united states,1974-Q3,-0.07563976,1
USA,111,united states,1974-Q4,0.1327766,1
USA,111,united states,1975-Q1,1.041262,1
USA,111,united states,1975-Q2,1.214152,1
USA,111,united states,1975-Q3,0.9544864,1
USA,111,united states,1975-Q4,1.092727,1
