Country,Date,pct_ca_eurostat,Adjustment
Belgium,1991-Q1,.,None
Belgium,1991-Q2,.,None
Belgium,1991-Q3,.,None
Belgium,1991-Q4,.,None
Belgium,1992-Q1,.,None
Belgium,1992-Q2,.,None
Belgium,1992-Q3,.,None
Belgium,1992-Q4,.,None
Belgium,1993-Q1,.,None
Belgium,1993-Q2,.,None
Belgium,1993-Q3,.,None
Belgium,1993-Q4,.,None
Belgium,1994-Q1,.,None
Belgium,1994-Q2,.,None
Belgium,1994-Q3,.,None
Belgium,1994-Q4,.,None
Belgium,1995-Q1,.,None
Belgium,1995-Q2,.,None
Belgium,1995-Q3,.,None
Belgium,1995-Q4,.,None
Belgium,1996-Q1,.,None
Belgium,1996-Q2,.,None
Belgium,1996-Q3,.,None
Belgium,1996-Q4,.,None
Belgium,1997-Q1,.,None
Belgium,1997-Q2,.,None
Belgium,1997-Q3,.,None
Belgium,1997-Q4,.,None
Belgium,1998-Q1,.,None
Belgium,1998-Q2,.,None
Belgium,1998-Q3,.,None
Belgium,1998-Q4,.,None
Belgium,1999-Q1,.,None
Belgium,1999-Q2,.,None
Belgium,1999-Q3,.,None
Belgium,1999-Q4,.,None
Belgium,2000-Q1,.,None
Belgium,2000-Q2,.,None
Belgium,2000-Q3,.,None
Belgium,2000-Q4,.,None
Belgium,2001-Q1,.,None
Belgium,2001-Q2,.,None
Belgium,2001-Q3,.,None
Belgium,2001-Q4,.,None
Belgium,2002-Q1,.,None
Belgium,2002-Q2,.,None
Belgium,2002-Q3,.,None
Belgium,2002-Q4,.,None
Belgium,2003-Q1,1.8,None
Belgium,2003-Q2,8.4,None
Belgium,2003-Q3,0.1,None
Belgium,2003-Q4,3.7,None
Belgium,2004-Q1,2.7,None
Belgium,2004-Q2,7.3,None
Belgium,2004-Q3,0.3,None
Belgium,2004-Q4,2.7,None
Belgium,2005-Q1,1.5,None
Belgium,2005-Q2,9.4,None
Belgium,2005-Q3,-2.4,None
Belgium,2005-Q4,-0.2,None
Belgium,2006-Q1,-0.8,None
Belgium,2006-Q2,6,None
Belgium,2006-Q3,-0.4,None
Belgium,2006-Q4,2.7,None
Belgium,2007-Q1,1.9,None
Belgium,2007-Q2,8.4,None
Belgium,2007-Q3,-0.9,None
Belgium,2007-Q4,-1.6,None
Belgium,2008-Q1,4.8,None
Belgium,2008-Q2,4,None
Belgium,2008-Q3,-7.8,None
Belgium,2008-Q4,-5,None
Belgium,2009-Q1,-2.8,None
Belgium,2009-Q2,-1.2,None
Belgium,2009-Q3,5.8,None
Belgium,2009-Q4,4.5,None
Belgium,2010-Q1,-0.3,None
Belgium,2010-Q2,7.7,None
Belgium,2010-Q3,0.9,None
Belgium,2010-Q4,-1.7,None
Belgium,2011-Q1,-5.2,None
Belgium,2011-Q2,-2.2,None
Belgium,2011-Q3,-0.9,None
Belgium,2011-Q4,0.3,None
Belgium,2012-Q1,-0.8,None
Belgium,2012-Q2,5.2,None
Belgium,2012-Q3,-1.8,None
Belgium,2012-Q4,-2.9,None
Belgium,2013-Q1,-0.4,None
Belgium,2013-Q2,-0.9,None
Belgium,2013-Q3,2.4,None
Belgium,2013-Q4,2.5,None
Belgium,2014-Q1,1.9,None
Belgium,2014-Q2,3.4,None
Belgium,2014-Q3,-6.5,None
Belgium,2014-Q4,3.9,None
Belgium,2015-Q1,0.4,None
Belgium,2015-Q2,5.8,None
Belgium,2015-Q3,-1.3,None
Belgium,2015-Q4,0.6,None
Belgium,2016-Q1,3.3,None
Belgium,2016-Q2,1.4,None
Belgium,2016-Q3,-1.7,None
Belgium,2016-Q4,-0.6,None
Belgium,2017-Q1,0.8,None
Belgium,2017-Q2,0.5,None
Belgium,2017-Q3,1.6,None
Belgium,2017-Q4,0,None
Belgium,2018-Q1,1,None
Belgium,2018-Q2,-0.4,None
Belgium,2018-Q3,-0.7,None
Belgium,2018-Q4,-3.3,None
Belgium,2019-Q1,1.3,None
Belgium,2019-Q2,-2.7,None
Belgium,2019-Q3,2.8,None
Belgium,2019-Q4,-0.7,None
Belgium,2020-Q1,1.4,None
Belgium,2020-Q2,1.7,None
Belgium,2020-Q3,-1.4,None
Belgium,2020-Q4,1.8,None
Belgium,2021-Q1,-1.9,None
Belgium,2021-Q2,6.1,None
Belgium,2021-Q3,5.1,None
Belgium,2021-Q4,-1.7,None
Belgium,2022-Q1,2.9,None
Belgium,2022-Q2,-0.8,None
Belgium,2022-Q3,-10,None
Belgium,2022-Q4,2.4,None
Belgium,2023-Q1,-0.6,None
Belgium,2023-Q2,-3.8,None
Belgium,2023-Q3,-1,None
Belgium,2023-Q4,2.4,None
Belgium,2024-Q1,1.3,None
Belgium,2024-Q2,-1,None
Belgium,2024-Q3,-1.1,None
Bulgaria,1991-Q1,.,None
Bulgaria,1991-Q2,.,None
Bulgaria,1991-Q3,.,None
Bulgaria,1991-Q4,.,None
Bulgaria,1992-Q1,.,None
Bulgaria,1992-Q2,.,None
Bulgaria,1992-Q3,.,None
Bulgaria,1992-Q4,.,None
Bulgaria,1993-Q1,.,None
Bulgaria,1993-Q2,.,None
Bulgaria,1993-Q3,.,None
Bulgaria,1993-Q4,.,None
Bulgaria,1994-Q1,.,None
Bulgaria,1994-Q2,.,None
Bulgaria,1994-Q3,.,None
Bulgaria,1994-Q4,.,None
Bulgaria,1995-Q1,.,None
Bulgaria,1995-Q2,.,None
Bulgaria,1995-Q3,.,None
Bulgaria,1995-Q4,.,None
Bulgaria,1996-Q1,.,None
Bulgaria,1996-Q2,.,None
Bulgaria,1996-Q3,.,None
Bulgaria,1996-Q4,.,None
Bulgaria,1997-Q1,.,None
Bulgaria,1997-Q2,.,None
Bulgaria,1997-Q3,.,None
Bulgaria,1997-Q4,.,None
Bulgaria,1998-Q1,-1.2,None
Bulgaria,1998-Q2,2.7,None
Bulgaria,1998-Q3,3,None
Bulgaria,1998-Q4,-4.8,None
Bulgaria,1999-Q1,-8.9,None
Bulgaria,1999-Q2,-5.6,None
Bulgaria,1999-Q3,0.8,None
Bulgaria,1999-Q4,-6.1,None
Bulgaria,2000-Q1,-11.7,None
Bulgaria,2000-Q2,-2.8,None
Bulgaria,2000-Q3,2.1,None
Bulgaria,2000-Q4,-9.9,None
Bulgaria,2001-Q1,-7.3,None
Bulgaria,2001-Q2,-4.6,None
Bulgaria,2001-Q3,-1.2,None
Bulgaria,2001-Q4,-8.8,None
