Country,Date,CAB
ALBANIA,1995Q1,
ALBANIA,1995Q2,
ALBANIA,1995Q3,
ALBANIA,1995Q4,
ALBANIA,1996Q1,
ALBANIA,1996Q2,
ALBANIA,1996Q3,
ALBANIA,1996Q4,
ALBANIA,1997Q1,
ALBANIA,1997Q2,
ALBANIA,1997Q3,
ALBANIA,1997Q4,
ALBANIA,1998Q1,
ALBANIA,1998Q2,
ALBANIA,1998Q3,
ALBANIA,1998Q4,
ALBANIA,1999Q1,
ALBANIA,1999Q2,
ALBANIA,1999Q3,
ALBANIA,1999Q4,
ALBANIA,2000Q1,
ALBANIA,2000Q2,
ALBANIA,2000Q3,
ALBANIA,2000Q4,
ALBANIA,2001Q1,
ALBANIA,2001Q2,
ALBANIA,2001Q3,
ALBANIA,2001Q4,
ALBANIA,2002Q1,
ALBANIA,2002Q2,
ALBANIA,2002Q3,
ALBANIA,2002Q4,
ALBANIA,2003Q1,
ALBANIA,2003Q2,
ALBANIA,2003Q3,
ALBANIA,2003Q4,
ALBANIA,2004Q1,
ALBANIA,2004Q2,
ALBANIA,2004Q3,
ALBANIA,2004Q4,
ALBANIA,2005Q1,
ALBANIA,2005Q2,
ALBANIA,2005Q3,
ALBANIA,2005Q4,
ALBANIA,2006Q1,
ALBANIA,2006Q2,
ALBANIA,2006Q3,
ALBANIA,2006Q4,
ALBANIA,2007Q1,
ALBANIA,2007Q2,
ALBANIA,2007Q3,
ALBANIA,2007Q4,
ALBANIA,2008Q1,
ALBANIA,2008Q2,
ALBANIA,2008Q3,
ALBANIA,2008Q4,
ALBANIA,2009Q1,
ALBANIA,2009Q2,
ALBANIA,2009Q3,
ALBANIA,2009Q4,
ALBANIA,2010Q1,
ALBANIA,2010Q2,
ALBANIA,2010Q3,
ALBANIA,2010Q4,
ALBANIA,2011Q1,
ALBANIA,2011Q2,
ALBANIA,2011Q3,
ALBANIA,2011Q4,
ALBANIA,2012Q1,
ALBANIA,2012Q2,
ALBANIA,2012Q3,
ALBANIA,2012Q4,
ALBANIA,2013Q1,
ALBANIA,2013Q2,
ALBANIA,2013Q3,
ALBANIA,2013Q4,
ALBANIA,2014Q1,
ALBANIA,2014Q2,
ALBANIA,2014Q3,
ALBANIA,2014Q4,
ALBANIA,2015Q1,-8.9744071
ALBANIA,2015Q2,-5.1905517
ALBANIA,2015Q3,-11.295306
ALBANIA,2015Q4,-9.1761711
ALBANIA,2016Q1,-8.1679471
ALBANIA,2016Q2,-10.587439
ALBANIA,2016Q3,-7.0660381
ALBANIA,2016Q4,-4.5300745
ALBANIA,2017Q1,-6.3118197
ALBANIA,2017Q2,-8.4213647
ALBANIA,2017Q3,-6.9046459
ALBANIA,2017Q4,-8.018979
ALBANIA,2018Q1,-6.2361993
ALBANIA,2018Q2,-5.1063874
ALBANIA,2018Q3,-7.0273345
ALBANIA,2018Q4,-8.5139129
ALBANIA,2019Q1,-8.3543159
ALBANIA,2019Q2,-7.8799831
ALBANIA,2019Q3,-7.9406013
ALBANIA,2019Q4,-7.2302642
ALBANIA,2020Q1,-7.2485243
ALBANIA,2020Q2,-11.264124
ALBANIA,2020Q3,-9.04214
ALBANIA,2020Q4,-6.9320107
ALBANIA,2021Q1,-7.9982736
ALBANIA,2021Q2,-5.5460371
ALBANIA,2021Q3,-6.8479059
ALBANIA,2021Q4,-10.150181
ALBANIA,2022Q1,-5.266399
ALBANIA,2022Q2,-4.186539
ALBANIA,2022Q3,-7.8765543
ALBANIA,2022Q4,-6.4432371
ALBANIA,2023Q1,-1.5756894
ALBANIA,2023Q2,-3.6652159
ALBANIA,2023Q3,0.46124707
ALBANIA,2023Q4,-1.058998
ALBANIA,2024Q1,-4.4092098
ALBANIA,2024Q2,-2.4984117
ALBANIA,2024Q3,-0.61004345
AUSTRIA,1995Q1,-2.0078815
AUSTRIA,1995Q2,-2.8647697
AUSTRIA,1995Q3,-2.0753227
AUSTRIA,1995Q4,-3.7886059
AUSTRIA,1996Q1,-2.6366741
AUSTRIA,1996Q2,-3.1142825
AUSTRIA,1996Q3,-2.797183
AUSTRIA,1996Q4,-2.5302508
AUSTRIA,1997Q1,-3.5286801
AUSTRIA,1997Q2,-2.276929
AUSTRIA,1997Q3,-2.6911544
AUSTRIA,1997Q4,-1.7330172
AUSTRIA,1998Q1,-2.7151766
AUSTRIA,1998Q2,-1.3868911
