date,ccode,cn,Country,year,idc,ldc,emg,eap,eca,mena,sa,we,na,ssa,lac,oil,emg2,fc,ez,euro_start
1/1/1960,USA,111,United States,1960,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1960,USA,111,United States,1960,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1960,USA,111,United States,1960,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1960,USA,111,United States,1960,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1961,USA,111,United States,1961,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1961,USA,111,United States,1961,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1961,USA,111,United States,1961,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1961,USA,111,United States,1961,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1962,USA,111,United States,1962,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1962,USA,111,United States,1962,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1962,USA,111,United States,1962,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1962,USA,111,United States,1962,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1963,USA,111,United States,1963,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1963,USA,111,United States,1963,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1963,USA,111,United States,1963,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1963,USA,111,United States,1963,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1964,USA,111,United States,1964,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1964,USA,111,United States,1964,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1964,USA,111,United States,1964,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1964,USA,111,United States,1964,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1965,USA,111,United States,1965,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1965,USA,111,United States,1965,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1965,USA,111,United States,1965,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1965,USA,111,United States,1965,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1966,USA,111,United States,1966,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1966,USA,111,United States,1966,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1966,USA,111,United States,1966,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1966,USA,111,United States,1966,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1967,USA,111,United States,1967,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1967,USA,111,United States,1967,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1967,USA,111,United States,1967,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1967,USA,111,United States,1967,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1968,USA,111,United States,1968,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1968,USA,111,United States,1968,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1968,USA,111,United States,1968,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1968,USA,111,United States,1968,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1969,USA,111,United States,1969,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1969,USA,111,United States,1969,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1969,USA,111,United States,1969,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1969,USA,111,United States,1969,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1970,USA,111,United States,1970,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1970,USA,111,United States,1970,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1970,USA,111,United States,1970,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
