Country,adv,"emg
","lid
",g7,g20,adv_g20,emg_g20,ea,"emg_mi_asia
","emg_mi_europe
","emg_mi_lam
","emg_mi_n_africa
","emg_mi_africa
","lidc_asis
",lidc_lam,lidc_sub_africa,"lidc
","lidc_oil
",oil,cn
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,512
Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,914
Algeria,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,612
Andorra,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Angola,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,614
Antigua and Barbuda,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,311
Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,213
Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911
Aruba,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,314
Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,193
Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,122
Azerbaijan,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,912
"Bahamas, The",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,313
Bahrain,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,419
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,513
Barbados,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,316
Belarus,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,913
Belgium,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,126
Belize,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,339
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,638
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,514
Bolivia,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,218
Bosnia and Herzegovina,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Botswana,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616
Brazil,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,223
Brunei Darussalam,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,516
Bulgaria,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,918
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,748
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,618
Cabo Verde,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,522
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,622
Canada,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,156
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,626
Chad,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,628
Chile,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,228
China,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,924
Colombia,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,233
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,632
"Congo, Dem. Rep. of the",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
"Congo, Rep of.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
"Congo, Rep. of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,634
"Congo, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
Costa Rica,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,238
Croatia,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
