Country,Phi0,Tstat0,r0_stationary_pval,r0_expl_pval,reject_ha_stationary_r0,reject_ha_expl_r0,Phi1,Tstat1,r1_stationary_pval,r1_expl_pval,reject_ha_stationary_r1,reject_ha_expl_r1,both_stationary,both_ur,stationary_explosive,ur_explosive,stationary_ur
albania,-0.597529046,-1.972247475,0.141600081,0.858399919,FALSE,FALSE,-0.503453094,-1.647180524,0.136947507,0.863052493,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
argentina,-0.387064184,-2.810734865,0.036352497,0.963647503,TRUE,FALSE,-0.06880437,-0.942778157,0.236087001,0.763912999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
armenia,-0.234206246,-10.28517614,0.004189735,0.995810265,TRUE,FALSE,0.032718292,1.537948939,0.927727069,0.072272931,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
australia,-0.322707032,-3.558886433,0.011111111,0.988888889,TRUE,FALSE,-0.205916781,-4.941361517,0.007407407,0.992592593,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
austria,-0.011138482,-0.219329347,0.772912424,0.227087576,FALSE,FALSE,-0.141345736,-2.086093403,0.234215886,0.765784114,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
belarus,-0.703185602,-5.739493095,0.005181347,0.994818653,TRUE,FALSE,0.067309502,0.588854343,0.784974093,0.215025907,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
belgium,-1.587132782,-8.586656795,0,1,TRUE,FALSE,-0.150121895,-2.804217348,0.006615215,0.993384785,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
bolivia,-0.224751115,-2.408734385,0.100396301,0.899603699,FALSE,FALSE,-0.241234361,-4.115402574,0.019815059,0.980184941,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
bosnia and herzegovina,-0.232713292,-0.341738927,0.77662037,0.22337963,FALSE,FALSE,-0.486825762,-0.341460397,0.378472222,0.621527778,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
brazil,-0.202731167,-4.634424416,0.001081081,0.998918919,TRUE,FALSE,-0.439101501,-6.418733866,0.008648649,0.991351351,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
bulgaria,0.013049961,0.254913312,0.855332629,0.144667371,FALSE,FALSE,-0.498284396,-3.94102266,0.079197466,0.920802534,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
cambodia,-0.024154266,-0.136728883,0.402399128,0.597600872,FALSE,FALSE,-0.159574571,-0.760122526,0.360959651,0.639040349,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
canada,-0.07103427,-1.262493067,0.399477807,0.600522193,FALSE,FALSE,-0.016479956,-0.070289363,0.516971279,0.483028721,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
chile,-1.057275044,-6.887245154,0.001248439,0.998751561,TRUE,FALSE,-0.403793648,-4.608376774,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
china,-0.511762994,-2.81595531,0.080545229,0.919454771,TRUE,FALSE,-0.134773653,-1.84069833,0.288723668,0.711276332,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
