Adjustment,ccode,Country,Date,GDP,Unit multiplier,CURRENCY,Currency
Calendar and seasonally adjusted,ARG,Argentina,2014-Q2,710555.6,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2024-Q4,27220313.9,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2024-Q3,23568139.9,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2024-Q2,19964643.4,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2024-Q1,16312260,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2012-Q1,100554.6,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2011-Q4,94194.9,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2014-Q1,171327.2,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2013-Q4,157272.2,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2013-Q3,144438.5,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2013-Q2,134663.3,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2013-Q1,126350.7,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2012-Q4,118701.6,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2012-Q3,112584.8,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2012-Q2,107251.3,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2011-Q3,88935.4,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2011-Q2,82495.1,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2011-Q1,76240.8,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2010-Q4,70438.6,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2010-Q3,64884.4,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2010-Q2,60193.7,Millions,ARS,Argentine peso
Calendar and seasonally adjusted,ARG,Argentina,2010-Q1,56462,Millions,ARS,Argentine peso
