ccode,Country,Date,GDP,CURRENCY,Currency
ARG,Argentina,2004-Q1,84773,ARS,Argentine peso
ARG,Argentina,2004-Q2,96167.5,ARS,Argentine peso
ARG,Argentina,2004-Q3,92444.8,ARS,Argentine peso
ARG,Argentina,2004-Q4,92615.3,ARS,Argentine peso
ARG,Argentina,2005-Q1,97457.4,ARS,Argentine peso
ARG,Argentina,2005-Q2,116684.3,ARS,Argentine peso
ARG,Argentina,2005-Q3,110392.2,ARS,Argentine peso
ARG,Argentina,2005-Q4,113367.2,ARS,Argentine peso
ARG,Argentina,2006-Q1,124524.4,ARS,Argentine peso
ARG,Argentina,2006-Q2,139440.4,ARS,Argentine peso
ARG,Argentina,2006-Q3,139560.2,ARS,Argentine peso
ARG,Argentina,2006-Q4,138411.8,ARS,Argentine peso
ARG,Argentina,2007-Q1,151067.9,ARS,Argentine peso
ARG,Argentina,2007-Q2,171838.9,ARS,Argentine peso
ARG,Argentina,2007-Q3,176934.7,ARS,Argentine peso
ARG,Argentina,2007-Q4,177562.9,ARS,Argentine peso
ARG,Argentina,2008-Q1,201055.2,ARS,Argentine peso
ARG,Argentina,2008-Q2,234360.5,ARS,Argentine peso
ARG,Argentina,2008-Q3,223691.6,ARS,Argentine peso
ARG,Argentina,2008-Q4,222764.4,ARS,Argentine peso
ARG,Argentina,2009-Q1,228627,ARS,Argentine peso
ARG,Argentina,2009-Q2,243776,ARS,Argentine peso
ARG,Argentina,2009-Q3,252711.7,ARS,Argentine peso
ARG,Argentina,2009-Q4,259277.4,ARS,Argentine peso
ARG,Argentina,2010-Q1,291073.3,ARS,Argentine peso
ARG,Argentina,2010-Q2,328963.8,ARS,Argentine peso
ARG,Argentina,2010-Q3,338423.6,ARS,Argentine peso
ARG,Argentina,2010-Q4,360909.7,ARS,Argentine peso
ARG,Argentina,2011-Q1,387192.4,ARS,Argentine peso
ARG,Argentina,2011-Q2,434842.6,ARS,Argentine peso
ARG,Argentina,2011-Q3,453531.3,ARS,Argentine peso
ARG,Argentina,2011-Q4,465676.1,ARS,Argentine peso
ARG,Argentina,2012-Q1,483600.6,ARS,Argentine peso
ARG,Argentina,2012-Q2,542770,ARS,Argentine peso
ARG,Argentina,2012-Q3,552833.5,ARS,Argentine peso
ARG,Argentina,2012-Q4,571984,ARS,Argentine peso
ARG,Argentina,2013-Q1,605333.1,ARS,Argentine peso
ARG,Argentina,2013-Q2,683628.8,ARS,Argentine peso
ARG,Argentina,2013-Q3,714989.2,ARS,Argentine peso
ARG,Argentina,2013-Q4,768240.9,ARS,Argentine peso
ARG,Argentina,2014-Q1,850923.3,ARS,Argentine peso
ARG,Argentina,2014-Q2,924364.7,ARS,Argentine peso
ARG,Argentina,2014-Q3,959366.4,ARS,Argentine peso
ARG,Argentina,2014-Q4,1035442.9,ARS,Argentine peso
ARG,Argentina,2015-Q1,1099112.3,ARS,Argentine peso
ARG,Argentina,2015-Q2,1255631.1,ARS,Argentine peso
ARG,Argentina,2015-Q3,1284149.4,ARS,Argentine peso
ARG,Argentina,2015-Q4,1363147.4,ARS,Argentine peso
ARG,Argentina,2016-Q1,1505560.3,ARS,Argentine peso
ARG,Argentina,2016-Q2,1726990.6,ARS,Argentine peso
ARG,Argentina,2016-Q3,1781437.6,ARS,Argentine peso
ARG,Argentina,2016-Q4,1846360.5,ARS,Argentine peso
ARG,Argentina,2017-Q1,2014046.8,ARS,Argentine peso
ARG,Argentina,2017-Q2,2263101.6,ARS,Argentine peso
ARG,Argentina,2017-Q3,2322881.7,ARS,Argentine peso
ARG,Argentina,2017-Q4,2401090.2,ARS,Argentine peso
ARG,Argentina,2018-Q1,2729150,ARS,Argentine peso
ARG,Argentina,2018-Q2,3140066.8,ARS,Argentine peso
ARG,Argentina,2018-Q3,3271955.6,ARS,Argentine peso
ARG,Argentina,2018-Q4,3432506.1,ARS,Argentine peso
ARG,Argentina,2019-Q1,3855577.9,ARS,Argentine peso
ARG,Argentina,2019-Q2,4547896.6,ARS,Argentine peso
ARG,Argentina,2019-Q3,4490925.3,ARS,Argentine peso
ARG,Argentina,2019-Q4,4906585.9,ARS,Argentine peso
ARG,Argentina,2020-Q1,5434413.7,ARS,Argentine peso
ARG,Argentina,2020-Q2,5194625.1,ARS,Argentine peso
ARG,Argentina,2020-Q3,5466823.4,ARS,Argentine peso
ARG,Argentina,2020-Q4,6373380.4,ARS,Argentine peso
ARG,Argentina,2021-Q1,7538830.1,ARS,Argentine peso
ARG,Argentina,2021-Q2,9077250.3,ARS,Argentine peso
ARG,Argentina,2021-Q3,9086615.4,ARS,Argentine peso
ARG,Argentina,2021-Q4,10749824.8,ARS,Argentine peso
ARG,Argentina,2022-Q1,12711805.2,ARS,Argentine peso
ARG,Argentina,2022-Q2,16190023.5,ARS,Argentine peso
ARG,Argentina,2022-Q3,17261390.2,ARS,Argentine peso
ARG,Argentina,2022-Q4,20992313.6,ARS,Argentine peso
ARG,Argentina,2023-Q1,26547570.7,ARS,Argentine peso
ARG,Argentina,2023-Q2,35025429.6,ARS,Argentine peso
ARG,Argentina,2023-Q3,40530442.9,ARS,Argentine peso
ARG,Argentina,2023-Q4,55493019.1,ARS,Argentine peso
ARG,Argentina,2024-Q1,90321235.6,ARS,Argentine peso
ARG,Argentina,2024-Q2,118807819.5,ARS,Argentine peso
ARG,Argentina,2024-Q3,128478348.2,ARS,Argentine peso
ARG,Argentina,2024-Q4,143938178.6,ARS,Argentine peso
AUS,Australia,1995-Q1,91244,AUD,Australian dollar
AUS,Australia,1995-Q2,96500,AUD,Australian dollar
AUS,Australia,1995-Q3,97371,AUD,Australian dollar
AUS,Australia,1995-Q4,104131,AUD,Australian dollar
AUS,Australia,1996-Q1,97392,AUD,Australian dollar
AUS,Australia,1996-Q2,101347,AUD,Australian dollar
AUS,Australia,1996-Q3,102696,AUD,Australian dollar
AUS,Australia,1996-Q4,108142,AUD,Australian dollar
AUS,Australia,1997-Q1,100325,AUD,Australian dollar
AUS,Australia,1997-Q2,105612,AUD,Australian dollar
AUS,Australia,1997-Q3,108758,AUD,Australian dollar
AUS,Australia,1997-Q4,115904,AUD,Australian dollar
AUS,Australia,1998-Q1,106294,AUD,Australian dollar
AUS,Australia,1998-Q2,112350,AUD,Australian dollar
AUS,Australia,1998-Q3,116105,AUD,Australian dollar
AUS,Australia,1998-Q4,123132,AUD,Australian dollar
AUS,Australia,1999-Q1,114893,AUD,Australian dollar
AUS,Australia,1999-Q2,120274,AUD,Australian dollar
AUS,Australia,1999-Q3,121703,AUD,Australian dollar
AUS,Australia,1999-Q4,129877,AUD,Australian dollar
AUS,Australia,2000-Q1,123260,AUD,Australian dollar
AUS,Australia,2000-Q2,128158,AUD,Australian dollar
AUS,Australia,2000-Q3,132375,AUD,Australian dollar
AUS,Australia,2000-Q4,139289,AUD,Australian dollar
AUS,Australia,2001-Q1,132087,AUD,Australian dollar
AUS,Australia,2001-Q2,137561,AUD,Australian dollar
AUS,Australia,2001-Q3,139285,AUD,Australian dollar
AUS,Australia,2001-Q4,146846,AUD,Australian dollar
AUS,Australia,2002-Q1,139795,AUD,Australian dollar
AUS,Australia,2002-Q2,145858,AUD,Australian dollar
AUS,Australia,2002-Q3,149431,AUD,Australian dollar
AUS,Australia,2002-Q4,157702,AUD,Australian dollar
AUS,Australia,2003-Q1,148815,AUD,Australian dollar
AUS,Australia,2003-Q2,155619,AUD,Australian dollar
AUS,Australia,2003-Q3,157470,AUD,Australian dollar
AUS,Australia,2003-Q4,168562,AUD,Australian dollar
AUS,Australia,2004-Q1,159176,AUD,Australian dollar
AUS,Australia,2004-Q2,168224,AUD,Australian dollar
AUS,Australia,2004-Q3,169500,AUD,Australian dollar
AUS,Australia,2004-Q4,180382,AUD,Australian dollar
AUS,Australia,2005-Q1,167113,AUD,Australian dollar
AUS,Australia,2005-Q2,179447,AUD,Australian dollar
AUS,Australia,2005-Q3,179825,AUD,Australian dollar
AUS,Australia,2005-Q4,190608,AUD,Australian dollar
AUS,Australia,2006-Q1,179414,AUD,Australian dollar
AUS,Australia,2006-Q2,193319,AUD,Australian dollar
AUS,Australia,2006-Q3,194887,AUD,Australian dollar
AUS,Australia,2006-Q4,207051,AUD,Australian dollar
AUS,Australia,2007-Q1,196043,AUD,Australian dollar
AUS,Australia,2007-Q2,209410,AUD,Australian dollar
AUS,Australia,2007-Q3,211795,AUD,Australian dollar
AUS,Australia,2007-Q4,224898,AUD,Australian dollar
AUS,Australia,2008-Q1,211758,AUD,Australian dollar
AUS,Australia,2008-Q2,223836,AUD,Australian dollar
AUS,Australia,2008-Q3,223424,AUD,Australian dollar
AUS,Australia,2008-Q4,234455,AUD,Australian dollar
AUS,Australia,2009-Q1,219683,AUD,Australian dollar
AUS,Australia,2009-Q2,235148,AUD,Australian dollar
AUS,Australia,2009-Q3,234355,AUD,Australian dollar
AUS,Australia,2009-Q4,247994,AUD,Australian dollar
AUS,Australia,2010-Q1,233793,AUD,Australian dollar
AUS,Australia,2010-Q2,250940,AUD,Australian dollar
AUS,Australia,2010-Q3,249735,AUD,Australian dollar
AUS,Australia,2010-Q4,263183,AUD,Australian dollar
AUS,Australia,2011-Q1,249507,AUD,Australian dollar
AUS,Australia,2011-Q2,266205,AUD,Australian dollar
AUS,Australia,2011-Q3,266535,AUD,Australian dollar
AUS,Australia,2011-Q4,278452,AUD,Australian dollar
AUS,Australia,2012-Q1,262429,AUD,Australian dollar
AUS,Australia,2012-Q2,280045,AUD,Australian dollar
AUS,Australia,2012-Q3,278614,AUD,Australian dollar
AUS,Australia,2012-Q4,289368,AUD,Australian dollar
AUS,Australia,2013-Q1,272771,AUD,Australian dollar
AUS,Australia,2013-Q2,288312,AUD,Australian dollar
AUS,Australia,2013-Q3,289458,AUD,Australian dollar
AUS,Australia,2013-Q4,302861,AUD,Australian dollar
AUS,Australia,2014-Q1,284347,AUD,Australian dollar
AUS,Australia,2014-Q2,300150,AUD,Australian dollar
AUS,Australia,2014-Q3,300000,AUD,Australian dollar
AUS,Australia,2014-Q4,313823,AUD,Australian dollar
AUS,Australia,2015-Q1,295344,AUD,Australian dollar
AUS,Australia,2015-Q2,313148,AUD,Australian dollar
AUS,Australia,2015-Q3,313554,AUD,Australian dollar
AUS,Australia,2015-Q4,327815,AUD,Australian dollar
AUS,Australia,2016-Q1,307532,AUD,Australian dollar
AUS,Australia,2016-Q2,327170,AUD,Australian dollar
AUS,Australia,2016-Q3,325743,AUD,Australian dollar
AUS,Australia,2016-Q4,340431,AUD,Australian dollar
AUS,Australia,2017-Q1,320102,AUD,Australian dollar
AUS,Australia,2017-Q2,341000,AUD,Australian dollar
AUS,Australia,2017-Q3,337883,AUD,Australian dollar
AUS,Australia,2017-Q4,356614,AUD,Australian dollar
AUS,Australia,2018-Q1,335533,AUD,Australian dollar
AUS,Australia,2018-Q2,357061,AUD,Australian dollar
