Adjustment,ccode,Country,Date,GDP,Unit multiplier,CURRENCY,Currency
Calendar and seasonally adjusted,ARG,Argentina,1993-Q1,336228.3,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1993-Q2,347507.3,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1993-Q3,356841.6,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1993-Q4,361750.4,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1994-Q1,368834.3,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1994-Q2,377825.4,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1994-Q3,381077,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1994-Q4,388091.3,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1995-Q1,384456.6,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1995-Q2,370716.9,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1995-Q3,371667.3,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1995-Q4,376727.1,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1996-Q1,388921.1,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1996-Q2,399249.5,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1996-Q3,409011.9,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1996-Q4,419042,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1997-Q1,430691.2,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1997-Q2,437936.3,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1997-Q3,450528.1,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1997-Q4,458177.4,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1998-Q1,461432.6,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1998-Q2,471223.3,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1998-Q3,472092.6,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1998-Q4,461399.6,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1999-Q1,457496.1,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1999-Q2,453475.8,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1999-Q3,454180.6,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,1999-Q4,463358.3,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2000-Q1,464337.1,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2000-Q2,459775.1,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2000-Q3,463004,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2000-Q4,468081.3,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2001-Q1,473445.9,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2001-Q2,471753.8,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2001-Q3,450018.8,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2001-Q4,418799.2,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2002-Q1,395556.4,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2002-Q2,409969.2,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2002-Q3,412355.3,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2002-Q4,419882.9,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2003-Q1,440134.3,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2003-Q2,456343.9,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2003-Q3,461148,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2003-Q4,462637.4,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2004-Q1,466648,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2004-Q2,458974.3,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2004-Q3,473331.2,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2004-Q4,482361.5,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2005-Q1,503807.4,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2005-Q2,525090.5,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2005-Q3,532836.2,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2005-Q4,548697.6,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2006-Q1,567475.4,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2006-Q2,576634.1,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2006-Q3,595829,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2006-Q4,611126.8,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2007-Q1,631411.1,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2007-Q2,649539.8,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2007-Q3,662304,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2007-Q4,686773.6,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2008-Q1,696921.5,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2008-Q2,705656,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2008-Q3,711122.3,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2008-Q4,680553.7,Millions,USD,US dollar
Calendar and seasonally adjusted,ARG,Argentina,2009-Q1,655060.8,Millions,USD,US dollar
