ccode,country,Adjustment,Date,pct_ca_oecd
ARG,Argentina,Calendar and seasonally adjusted,2006-Q1,2.64117
ARG,Argentina,Calendar and seasonally adjusted,2006-Q2,2.126297
ARG,Argentina,Calendar and seasonally adjusted,2006-Q3,2.731189
ARG,Argentina,Calendar and seasonally adjusted,2006-Q4,3.793336
ARG,Argentina,Calendar and seasonally adjusted,2007-Q1,2.124996
ARG,Argentina,Calendar and seasonally adjusted,2007-Q2,1.694194
ARG,Argentina,Calendar and seasonally adjusted,2007-Q3,0.9223103
ARG,Argentina,Calendar and seasonally adjusted,2007-Q4,3.670239
ARG,Argentina,Calendar and seasonally adjusted,2008-Q1,3.081346
ARG,Argentina,Calendar and seasonally adjusted,2008-Q2,-0.9158609
ARG,Argentina,Calendar and seasonally adjusted,2008-Q3,3.035038
ARG,Argentina,Calendar and seasonally adjusted,2008-Q4,0.7846621
ARG,Argentina,Calendar and seasonally adjusted,2009-Q1,2.833673
ARG,Argentina,Calendar and seasonally adjusted,2009-Q2,4.105328
ARG,Argentina,Calendar and seasonally adjusted,2009-Q3,0.8946098
ARG,Argentina,Calendar and seasonally adjusted,2009-Q4,1.075865
ARG,Argentina,Calendar and seasonally adjusted,2010-Q1,-0.5802385
ARG,Argentina,Calendar and seasonally adjusted,2010-Q2,0.7629085
ARG,Argentina,Calendar and seasonally adjusted,2010-Q3,-0.3847956
ARG,Argentina,Calendar and seasonally adjusted,2010-Q4,-1.424532
ARG,Argentina,Calendar and seasonally adjusted,2011-Q1,-0.8209527
ARG,Argentina,Calendar and seasonally adjusted,2011-Q2,-0.7452836
ARG,Argentina,Calendar and seasonally adjusted,2011-Q3,-0.9954666
ARG,Argentina,Calendar and seasonally adjusted,2011-Q4,-1.495615
ARG,Argentina,Calendar and seasonally adjusted,2012-Q1,-0.2574839
ARG,Argentina,Calendar and seasonally adjusted,2012-Q2,-0.5746655
ARG,Argentina,Calendar and seasonally adjusted,2012-Q3,0.0713269
ARG,Argentina,Calendar and seasonally adjusted,2012-Q4,-0.6805279
ARG,Argentina,Calendar and seasonally adjusted,2013-Q1,-1.729747
ARG,Argentina,Calendar and seasonally adjusted,2013-Q2,-1.132729
ARG,Argentina,Calendar and seasonally adjusted,2013-Q3,-1.876933
ARG,Argentina,Calendar and seasonally adjusted,2013-Q4,-4.050769
ARG,Argentina,Calendar and seasonally adjusted,2014-Q1,-3.89664
ARG,Argentina,Calendar and seasonally adjusted,2014-Q2,-0.3966281
ARG,Argentina,Calendar and seasonally adjusted,2014-Q3,-1.245428
ARG,Argentina,Calendar and seasonally adjusted,2014-Q4,-1.508174
ARG,Argentina,Calendar and seasonally adjusted,2015-Q1,-3.089599
ARG,Argentina,Calendar and seasonally adjusted,2015-Q2,-2.085144
ARG,Argentina,Calendar and seasonally adjusted,2015-Q3,-2.549824
ARG,Argentina,Calendar and seasonally adjusted,2015-Q4,-3.39167
ARG,Argentina,Calendar and seasonally adjusted,2016-Q1,-3.061783
ARG,Argentina,Calendar and seasonally adjusted,2016-Q2,-2.663628
ARG,Argentina,Calendar and seasonally adjusted,2016-Q3,-2.052315
