country_code,country,Adjustment,Date,pct_ca_oecd,cn,cn_2,pct_ca,ca,pct_ca_sa_2,cab
ARG,Argentina,Calendar and seasonally adjusted,2006-Q1,2.64117,213,Argentina,2.23507601767778,2.41539820296046,3.8864092,2.41539812088013
ARG,Argentina,Calendar and seasonally adjusted,2006-Q2,2.126297,213,Argentina,4.76110279560089,2.0163423235964,3.0634125,2.01634240150452
ARG,Argentina,Calendar and seasonally adjusted,2006-Q3,2.731189,213,Argentina,3.53341959416866,2.69754665289537,3.4718294,2.69754672050476
ARG,Argentina,Calendar and seasonally adjusted,2006-Q4,3.793336,213,Argentina,4.97892983257771,3.84204723358004,5.1401164,3.84204721450806
ARG,Argentina,Calendar and seasonally adjusted,2007-Q1,2.124996,213,Argentina,1.74869056791067,2.00152442145211,3.3787999,2.00152444839478
ARG,Argentina,Calendar and seasonally adjusted,2007-Q2,1.694194,213,Argentina,4.07966896891594,1.59351148109816,2.1762008,1.59351146221161
ARG,Argentina,Calendar and seasonally adjusted,2007-Q3,0.9223103,213,Argentina,1.22426692396402,0.91017834696041,1.2913844,0.910178363323212
ARG,Argentina,Calendar and seasonally adjusted,2007-Q4,3.670239,213,Argentina,4.99099716544151,3.67240476068187,5.3298813,3.67240476608276
ARG,Argentina,Calendar and seasonally adjusted,2008-Q1,3.081346,213,Argentina,2.42036879062653,2.94860121824209,4.0606057,2.94860124588013
ARG,Argentina,Calendar and seasonally adjusted,2008-Q2,-0.9158609,213,Argentina,0.941332709044218,-1.01954896384802,-1.2464919,-1.01954901218414
ARG,Argentina,Calendar and seasonally adjusted,2008-Q3,3.035038,213,Argentina,4.04804758727551,3.0609109796494,4.1406495,3.06091094017029
ARG,Argentina,Calendar and seasonally adjusted,2008-Q4,0.7846621,213,Argentina,1.48411067202687,0.936986719439622,2.0388775,0.936986744403839
ARG,Argentina,Calendar and seasonally adjusted,2009-Q1,2.833673,213,Argentina,1.95177346467972,2.69746002800788,3.6145747,2.69745993614197
ARG,Argentina,Calendar and seasonally adjusted,2009-Q2,4.105328,213,Argentina,6.3440628349781,3.93225328880418,3.919607,3.93225336074829
ARG,Argentina,Calendar and seasonally adjusted,2009-Q3,0.8946098,213,Argentina,1.39823015779257,0.790059331535878,1.5636171,0.790059328079224
ARG,Argentina,Calendar and seasonally adjusted,2009-Q4,1.075865,213,Argentina,1.81979071348906,1.35391705887798,2.4188067,1.35391700267792
ARG,Argentina,Calendar and seasonally adjusted,2010-Q1,-0.5802385,213,Argentina,-0.623355945572257,-0.530254855349312,1.107214,-0.53025484085083
ARG,Argentina,Calendar and seasonally adjusted,2010-Q2,0.7629085,213,Argentina,3.8779653608799,0.888743293709492,1.3761302,0.888743281364441
ARG,Argentina,Calendar and seasonally adjusted,2010-Q3,-0.3847956,213,Argentina,0.995867326855659,-0.522367695047246,1.1267778,-0.522367715835571
ARG,Argentina,Calendar and seasonally adjusted,2010-Q4,-1.424532,213,Argentina,-0.48810844309628,-1.24705504621556,0.15708026,-1.24705505371094
ARG,Argentina,Calendar and seasonally adjusted,2011-Q1,-0.8209527,213,Argentina,.,-0.911893642658833,.,-0.911893665790558
ARG,Argentina,Calendar and seasonally adjusted,2011-Q2,-0.7452836,213,Argentina,.,-0.687862539536032,.,-0.687862515449524
ARG,Argentina,Calendar and seasonally adjusted,2011-Q3,-0.9954666,213,Argentina,.,-1.10387447664793,.,-1.10387444496155
ARG,Argentina,Calendar and seasonally adjusted,2011-Q4,-1.495615,213,Argentina,.,-1.302012831792,.,-1.30201280117035
ARG,Argentina,Calendar and seasonally adjusted,2012-Q1,-0.2574839,213,Argentina,.,-0.32737060729942,.,-0.3273706138134
ARG,Argentina,Calendar and seasonally adjusted,2012-Q2,-0.5746655,213,Argentina,.,-0.571028423044111,.,-0.571028411388397
ARG,Argentina,Calendar and seasonally adjusted,2012-Q3,0.0713269,213,Argentina,.,-9.24934682920521E-04,.,-0.000924934691283852
ARG,Argentina,Calendar and seasonally adjusted,2012-Q4,-0.6805279,213,Argentina,.,-0.57535480001163,.,-0.575354814529419
ARG,Argentina,Calendar and seasonally adjusted,2013-Q1,-1.729747,213,Argentina,.,-1.78366189577588,.,-1.78366184234619
ARG,Argentina,Calendar and seasonally adjusted,2013-Q2,-1.132729,213,Argentina,.,-1.08344544617907,.,-1.08344542980194
ARG,Argentina,Calendar and seasonally adjusted,2013-Q3,-1.876933,213,Argentina,.,-1.86709765445073,.,-1.86709761619568
ARG,Argentina,Calendar and seasonally adjusted,2013-Q4,-4.050769,213,Argentina,.,-3.82994474610712,.,-3.82994484901428
ARG,Argentina,Calendar and seasonally adjusted,2014-Q1,-3.89664,213,Argentina,.,-3.82348191156556,.,-3.823481798172
ARG,Argentina,Calendar and seasonally adjusted,2014-Q2,-0.3966281,213,Argentina,.,-0.306093102912442,.,-0.306093096733093
ARG,Argentina,Calendar and seasonally adjusted,2014-Q3,-1.245428,213,Argentina,.,-1.15736301152024,.,-1.15736305713654
ARG,Argentina,Calendar and seasonally adjusted,2014-Q4,-1.508174,213,Argentina,.,-1.29949128547384,.,-1.29949128627777
ARG,Argentina,Calendar and seasonally adjusted,2015-Q1,-3.089599,213,Argentina,.,-2.96884418480118,.,-2.96884417533875
ARG,Argentina,Calendar and seasonally adjusted,2015-Q2,-2.085144,213,Argentina,.,-2.15151303828865,.,-2.15151309967041
ARG,Argentina,Calendar and seasonally adjusted,2015-Q3,-2.549824,213,Argentina,.,-2.50101948629809,.,-2.50101947784424
ARG,Argentina,Calendar and seasonally adjusted,2015-Q4,-3.39167,213,Argentina,.,-3.3280446712076,.,-3.32804465293884
ARG,Argentina,Calendar and seasonally adjusted,2016-Q1,-3.061783,213,Argentina,.,-2.73652631828988,.,-2.73652625083923
ARG,Argentina,Calendar and seasonally adjusted,2016-Q2,-2.663628,213,Argentina,.,-2.8551904279274,.,-2.85519051551819
ARG,Argentina,Calendar and seasonally adjusted,2016-Q3,-2.052315,213,Argentina,.,-2.07634743165759,.,-2.07634735107422
ARG,Argentina,Calendar and seasonally adjusted,2016-Q4,-3.170433,213,Argentina,.,-3.17482100488558,.,-3.17482089996338
ARG,Argentina,Calendar and seasonally adjusted,2017-Q1,-4.107924,213,Argentina,.,-3.75731001691462,.,-3.75730991363525
ARG,Argentina,Calendar and seasonally adjusted,2017-Q2,-4.517138,213,Argentina,.,-4.73681257513114,.,-4.73681259155273
ARG,Argentina,Calendar and seasonally adjusted,2017-Q3,-4.789655,213,Argentina,.,-4.97572319954412,.,-4.97572326660156
ARG,Argentina,Calendar and seasonally adjusted,2017-Q4,-5.782969,213,Argentina,.,-5.82576501368283,.,-5.82576513290405
ARG,Argentina,Calendar and seasonally adjusted,2018-Q1,-5.100072,213,Argentina,.,-4.80132312579604,.,-4.80132293701172
ARG,Argentina,Calendar and seasonally adjusted,2018-Q2,-6.168598,213,Argentina,.,-6.36918537414331,.,-6.36918544769287
ARG,Argentina,Calendar and seasonally adjusted,2018-Q3,-5.815376,213,Argentina,.,-6.17506689131061,.,-6.17506694793701
ARG,Argentina,Calendar and seasonally adjusted,2018-Q4,-2.10034,213,Argentina,.,-2.21088857048463,.,-2.21088862419128
ARG,Argentina,Calendar and seasonally adjusted,2019-Q1,-1.912216,213,Argentina,.,-1.77705058086169,.,-1.77705061435699
ARG,Argentina,Calendar and seasonally adjusted,2019-Q2,-2.218377,213,Argentina,.,-2.39618029157763,.,-2.39618039131165
ARG,Argentina,Calendar and seasonally adjusted,2019-Q3,-0.7779842,213,Argentina,.,-0.992710114204235,.,-0.992710113525391
ARG,Argentina,Calendar and seasonally adjusted,2019-Q4,2.083646,213,Argentina,.,2.29118372942513,.,2.29118371009827
ARG,Argentina,Calendar and seasonally adjusted,2020-Q1,1.250204,213,Argentina,.,1.2441261783644,.,1.24412620067596
ARG,Argentina,Calendar and seasonally adjusted,2020-Q2,2.6703,213,Argentina,.,2.56856127933965,.,2.5685613155365
ARG,Argentina,Calendar and seasonally adjusted,2020-Q3,1.196103,213,Argentina,.,1.0608245013269,.,1.06082451343536
ARG,Argentina,Calendar and seasonally adjusted,2020-Q4,-1.883963,213,Argentina,.,-1.32814436729192,.,-1.32814431190491
ARG,Argentina,Calendar and seasonally adjusted,2021-Q1,1.410546,213,Argentina,.,1.35308242508307,.,1.35308241844177
ARG,Argentina,Calendar and seasonally adjusted,2021-Q2,1.507539,213,Argentina,.,1.38694074593743,.,1.38694071769714
ARG,Argentina,Calendar and seasonally adjusted,2021-Q3,2.599804,213,Argentina,.,2.57263869837827,.,2.57263875007629
ARG,Argentina,Calendar and seasonally adjusted,2021-Q4,-0.2100169,213,Argentina,.,0.33645246322376,.,0.336452454328537
ARG,Argentina,Calendar and seasonally adjusted,2022-Q1,-0.008479201,213,Argentina,.,-2.14238345041778E-02,.,-0.0214238353073597
ARG,Argentina,Calendar and seasonally adjusted,2022-Q2,-1.150146,213,Argentina,.,-1.10004448140449,.,-1.10004448890686
ARG,Argentina,Calendar and seasonally adjusted,2022-Q3,-1.907788,213,Argentina,.,,.,.
ARG,Argentina,Calendar and seasonally adjusted,2022-Q4,0.7715189,.,.,.,.,.,.
ARG,Argentina,Calendar and seasonally adjusted,2023-Q1,-2.915733,.,.,.,.,.,.
ARG,Argentina,Calendar and seasonally adjusted,2023-Q2,-4.217372,.,.,.,.,.,.
ARG,Argentina,Calendar and seasonally adjusted,2023-Q3,-3.314518,.,.,.,.,.,.
ARG,Argentina,Calendar and seasonally adjusted,2023-Q4,-2.13182,.,.,.,.,.,.
ARG,Argentina,Calendar and seasonally adjusted,2024-Q1,1.297727,.,.,.,.,.,.
ARG,Argentina,Calendar and seasonally adjusted,2024-Q2,1.806395,.,.,.,.,.,.
ARG,Argentina,Calendar and seasonally adjusted,2024-Q3,0.8207445,.,.,.,.,.,.
ARG,Argentina,Calendar and seasonally adjusted,2024-Q4,0.1865985,.,.,.,.,.,.
AUS,Australia,Calendar and seasonally adjusted,1959-Q3,-2.618328,193,Australia,.,-2.62228946041351,.,-2.62228941917419
AUS,Australia,Calendar and seasonally adjusted,1959-Q4,0.09784736,193,Australia,.,7.34933855952964E-02,.,0.0734933838248253
AUS,Australia,Calendar and seasonally adjusted,1960-Q1,-1.56025,193,Australia,-2.82101910561323,-1.5598752099832,-2.978339,-1.55987524986267
AUS,Australia,Calendar and seasonally adjusted,1960-Q2,-3.403381,193,Australia,-4.54649329185486,-3.40415809915467,-4.9108113,-3.40415811538696
AUS,Australia,Calendar and seasonally adjusted,1960-Q3,-5.5,193,Australia,-6.60980343818665,-5.50125028415549,-5.8713374,-5.50125026702881
AUS,Australia,Calendar and seasonally adjusted,1960-Q4,-4.290876,193,Australia,-5.10014221072197,-4.31443415405466,-5.3169934,-4.31443405151367
AUS,Australia,Calendar and seasonally adjusted,1961-Q1,-3.528613,193,Australia,-4.69735711812973,-3.52941176470588,-4.8544641,-3.52941179275513
AUS,Australia,Calendar and seasonally adjusted,1961-Q2,0.04627487,193,Australia,-1.24442456290126,0.0462748727441,-1.6087924,0.0462748743593693
AUS,Australia,Calendar and seasonally adjusted,1961-Q3,0.646502,193,Australia,-0.574998743832111,0.623556581986143,0.16325594,0.623556554317474
AUS,Australia,Calendar and seasonally adjusted,1961-Q4,2.289901,193,Australia,1.31596773862839,2.26752175904718,1.0991338,2.26752185821533
AUS,Australia,Calendar and seasonally adjusted,1962-Q1,0.6224989,193,Australia,-0.417044898495078,0.600400266844563,-0.57418193,0.600400269031525
AUS,Australia,Calendar and seasonally adjusted,1962-Q2,0.02176752,193,Australia,-1.13873379305005,0.021767522855899,-1.5030653,0.0217675231397152
AUS,Australia,Calendar and seasonally adjusted,1962-Q3,-2.816599,193,Australia,-4.00613397359848,-2.81720430107527,-3.2679682,-2.81720423698425
AUS,Australia,Calendar and seasonally adjusted,1962-Q4,-1.233793,193,Australia,-2.0732905715704,-1.25496758000418,-2.2897694,-1.25496757030487
AUS,Australia,Calendar and seasonally adjusted,1963-Q1,-1.137056,193,Australia,-2.04627495259047,-1.15759545085297,-2.2035367,-1.15759539604187
AUS,Australia,Calendar and seasonally adjusted,1963-Q2,-1.124744,193,Australia,-2.18526925891638,-1.12497443239926,-2.5496955,-1.12497448921204
AUS,Australia,Calendar and seasonally adjusted,1963-Q3,-0.368932,193,Australia,-1.53655577450991,-0.368932038834951,-0.79870246,-0.368932038545609
AUS,Australia,Calendar and seasonally adjusted,1963-Q4,1.978315,193,Australia,1.20841627940536,1.95929237207533,0.99253903,1.9592924118042
AUS,Australia,Calendar and seasonally adjusted,1964-Q1,0.7520211,193,Australia,-0.0186893899808638,0.752021056589584,-0.17605413,0.752021074295044
AUS,Australia,Calendar and seasonally adjusted,1964-Q2,-0.8180331,193,Australia,-1.79405193775892,-0.818181818181818,-2.1588356,-0.818181812763214
AUS,Australia,Calendar and seasonally adjusted,1964-Q3,-2.488364,193,Australia,-4.6312253922224,-2.48880931065354,-3.893839,-2.48880934715271
AUS,Australia,Calendar and seasonally adjusted,1964-Q4,-2.168257,193,Australia,-3.50476428866386,-2.18598195697432,-3.7196141,-2.18598198890686
AUS,Australia,Calendar and seasonally adjusted,1965-Q1,-3.161853,193,Australia,-3.60336974263191,-3.17948717948718,-3.7605957,-3.17948722839355
AUS,Australia,Calendar and seasonally adjusted,1965-Q2,-3.185247,193,Australia,-4.04893681406975,-3.18524727577536,-4.4142876,-3.18524718284607
AUS,Australia,Calendar and seasonally adjusted,1965-Q3,-4.376879,193,Australia,-5.70264644920826,-4.37761069340017,-4.9660665,-4.37761068344116
AUS,Australia,Calendar and seasonally adjusted,1965-Q4,-3.648671,193,Australia,-4.15811277925968,-3.64867095922074,-4.3718522,-3.64867091178894
AUS,Australia,Calendar and seasonally adjusted,1966-Q1,-2.692055,193,Australia,-3.13189588487148,-2.70891479231653,-3.2887593,-2.7089147567749
AUS,Australia,Calendar and seasonally adjusted,1966-Q2,-1.648,193,Australia,-2.43996251374483,-1.64826372219555,-2.8058437,-1.64826369285583
AUS,Australia,Calendar and seasonally adjusted,1966-Q3,-1.8663,193,Australia,-3.11784315854311,-1.86687069625096,-2.3822556,-1.86687064170837
AUS,Australia,Calendar and seasonally adjusted,1966-Q4,-1.805701,193,Australia,-2.3382967337966,-1.80597014925373,-2.5510032,-1.80597019195557
AUS,Australia,Calendar and seasonally adjusted,1967-Q1,-2.479101,193,Australia,-2.68760658800602,-2.47945797895344,-2.8440256,-2.47945809364319
AUS,Australia,Calendar and seasonally adjusted,1967-Q2,-1.860332,193,Australia,-2.62140817940235,-1.86086458631549,-2.9877101,-1.86086463928223
AUS,Australia,Calendar and seasonally adjusted,1967-Q3,-2.861573,193,Australia,-6.34657964110374,-2.86197659664458,-5.6121186,-2.86197662353516
AUS,Australia,Calendar and seasonally adjusted,1967-Q4,-2.819627,193,Australia,-3.35966199636459,-2.82001658833287,-3.5712292,-2.82001662254333
AUS,Australia,Calendar and seasonally adjusted,1968-Q1,-5.119129,193,Australia,-5.25041930377483,-5.10551395507148,-5.406405,-5.10551404953003
AUS,Australia,Calendar and seasonally adjusted,1968-Q2,-3.159851,193,Australia,-3.93273234367371,-3.16027088036117,-4.2993209,-3.16027092933655
AUS,Australia,Calendar and seasonally adjusted,1968-Q3,-3.635895,193,Australia,-4.77434806525707,-3.63636363636364,-4.0413087,-3.63636374473572
AUS,Australia,Calendar and seasonally adjusted,1968-Q4,-2.313625,193,Australia,-3.00985407084227,-2.31390793339863,-3.2200737,-2.31390786170959
AUS,Australia,Calendar and seasonally adjusted,1969-Q1,-2.305928,193,Australia,-2.45959460735321,-2.3185605603188,-2.6152486,-2.31856060028076
AUS,Australia,Calendar and seasonally adjusted,1969-Q2,-2.246928,193,Australia,-2.95694638043642,-2.24719101123596,-3.3238136,-2.24719095230103
AUS,Australia,Calendar and seasonally adjusted,1969-Q3,-1.354861,193,Australia,-2.33672838658094,-1.35486056226713,-1.6051737,-1.35486054420471
AUS,Australia,Calendar and seasonally adjusted,1969-Q4,-1.642054,193,Australia,-2.48161274939775,-1.65343915343915,-2.6903657,-1.65343916416168
AUS,Australia,Calendar and seasonally adjusted,1970-Q1,-1.322865,193,Australia,-1.44089739769697,-1.30149510594816,-1.5961738,-1.30149507522583
AUS,Australia,Calendar and seasonally adjusted,1970-Q2,-1.791632,193,Australia,-2.20241621136665,-1.79200331468821,-2.5697524,-1.79200327396393
AUS,Australia,Calendar and seasonally adjusted,1970-Q3,-1.419899,193,Australia,-2.23120991140604,-1.43048265925697,-1.5009549,-1.4304826259613
AUS,Australia,Calendar and seasonally adjusted,1970-Q4,-1.589069,193,Australia,-2.42446046322584,-1.58922967911732,-2.6318777,-1.58922970294952
AUS,Australia,Calendar and seasonally adjusted,1971-Q1,-2.036839,193,Australia,-2.20398232340813,-2.03703703703704,-2.3587705,-2.03703713417053
AUS,Australia,Calendar and seasonally adjusted,1971-Q2,-1.086439,193,Australia,-1.4296218752861,-1.08664569631112,-1.7975815,-1.08664572238922
