country_name,Start Date,End Date,pct_cab Start,pct_cab End
argentina,1985-Q1,2024-Q4,1985-Q1,2024-Q4
armenia,1994-Q1,2020-Q3,1994-Q1,2020-Q3
australia,1960-Q1,2024-Q4,1960-Q1,2024-Q4
austria,1970-Q1,2024-Q4,1970-Q1,2024-Q4
belarus,1996-Q1,2020-Q1,1996-Q1,2020-Q1
belgium,1995-Q1,2024-Q4,1995-Q1,2024-Q4
bolivia,1985-Q1,2019-Q4,1985-Q1,2019-Q4
brazil,1978-Q1,2024-Q4,1978-Q1,2024-Q4
bulgaria,1994-Q1,2024-Q4,1994-Q1,2024-Q4
cambodia,1994-Q1,2021-Q4,1994-Q1,2021-Q4
canada,1961-Q1,2024-Q4,1961-Q1,2024-Q4
chile,1991-Q1,2024-Q4,1991-Q1,2024-Q4
china,1991-Q1,2024-Q4,1991-Q1,2024-Q4
colombia,1996-Q1,2024-Q4,1996-Q1,2024-Q4
costa rica,1999-Q1,2024-Q4,1999-Q1,2024-Q4
croatia,1994-Q4,2024-Q3,1994-Q4,2024-Q3
czech republic,1993-Q1,2024-Q4,1993-Q1,2024-Q4
denmark,1977-Q1,2025-Q1,1977-Q1,2025-Q1
el salvador,1999-Q1,2020-Q1,1999-Q1,2020-Q1
estonia,1993-Q1,2024-Q4,1993-Q1,2024-Q4
finland,1975-Q1,2024-Q4,1975-Q1,2024-Q4
france,1975-Q1,2024-Q4,1975-Q1,2024-Q4
georgia,1997-Q1,2020-Q1,1997-Q1,2020-Q1
germany,1971-Q1,2024-Q4,1971-Q1,2024-Q4
greece,1976-Q1,2024-Q4,1976-Q1,2024-Q4
guatemala,1977-Q1,2020-Q1,1977-Q1,2020-Q1
hong kong  china,1999-Q1,2020-Q1,1999-Q1,2020-Q1
hungary,1989-Q4,2024-Q4,1989-Q4,2024-Q4
iceland,1976-Q1,2024-Q4,1976-Q1,2024-Q4
india,1960-Q1,2024-Q4,1960-Q1,2024-Q4
indonesia,1981-Q1,2024-Q4,1981-Q1,2024-Q4
ireland,1990-Q1,2024-Q4,1990-Q1,2024-Q4
israel,1972-Q1,2024-Q4,1972-Q1,2024-Q4
italy,1970-Q1,2024-Q4,1970-Q1,2024-Q4
japan,1977-Q1,2025-Q1,1977-Q1,2025-Q1
kazakhstan,1995-Q1,2020-Q1,1995-Q1,2020-Q1
korea  rep.,1976-Q1,2024-Q4,1976-Q1,2024-Q4
kyrgyz republic,1993-Q1,2021-Q4,1993-Q1,2021-Q4
latvia,1993-Q1,2024-Q4,1993-Q1,2024-Q4
lithuania,1993-Q1,2024-Q4,1993-Q1,2024-Q4
luxembourg,1995-Q1,2024-Q4,1995-Q1,2024-Q4
malaysia,1999-Q1,2020-Q1,1999-Q1,2020-Q1
mauritius,2000-Q1,2020-Q1,2000-Q1,2020-Q1
mexico,1979-Q1,2024-Q4,1979-Q1,2024-Q4
moldova,1995-Q1,2020-Q1,1995-Q1,2020-Q1
netherlands,1977-Q1,2024-Q4,1977-Q1,2024-Q4
new zealand,1980-Q1,2024-Q4,1980-Q1,2024-Q4
norway,1975-Q1,2024-Q4,1975-Q1,2024-Q4
paraguay,2000-Q1,2020-Q4,2000-Q1,2020-Q4
peru,1979-Q1,2020-Q1,1979-Q1,2020-Q1
philippines,1977-Q2,2020-Q1,1977-Q2,2020-Q1
poland,1985-Q1,2024-Q4,1985-Q1,2024-Q4
portugal,1977-Q1,2024-Q4,1977-Q1,2024-Q4
romania,1991-Q1,2024-Q4,1991-Q1,2024-Q4
russian federation,1994-Q1,2021-Q3,1994-Q1,2021-Q3
slovak republic,1993-Q1,2024-Q4,1993-Q1,2024-Q4
slovenia,1995-Q1,2024-Q4,1995-Q1,2024-Q4
south africa,1960-Q1,2024-Q4,1960-Q1,2024-Q4
spain,1975-Q1,2024-Q4,1975-Q1,2024-Q4
sri lanka,1977-Q1,2021-Q1,1977-Q1,2021-Q1
sweden,1975-Q1,2024-Q4,1975-Q1,2024-Q4
switzerland,1972-Q1,2024-Q4,1972-Q1,2024-Q4
taiwan,1981-Q1,2019-Q4,1981-Q1,2019-Q4
thailand,1976-Q1,2019-Q4,1976-Q1,2019-Q4
turkey,1987-Q1,2024-Q4,1987-Q1,2024-Q4
united kingdom,1960-Q1,2024-Q4,1960-Q1,2024-Q4
united states,1960-Q1,2024-Q4,1960-Q1,2024-Q4
uruguay,1999-Q1,2020-Q1,1999-Q1,2020-Q1
venezuela  rb,1994-Q1,2014-Q4,1994-Q1,2014-Q4
vietnam,1996-Q1,2021-Q4,1996-Q1,2021-Q4
