country_name,Mean CAB/GDP%,SD CAB/GDP%,Min CAB/GDP%,Max CAB/GDP%,Start Date,End Date,N
albania,-6.54082024820513,2.8229167687453,-11.295306,0.46124707,2015-Q1,2024-Q3,39
argentina,-0.61928169160625,3.81226399435142,-13.386549,13.851215,1985-Q1,2024-Q4,160
armenia,-11.2461321039587,9.54446854434214,-52.759248,2.021668,1994-Q1,2020-Q3,107
australia,-2.96254494746154,2.16654398716477,-7.323353,3.531824,1960-Q1,2024-Q4,260
austria,0.143426510836363,2.38138124617177,-6.2882833,6.913979,1970-Q1,2024-Q4,220
belarus,-5.11845451670125,5.26648300506502,-24.871078,9.2105768,1996-Q1,2020-Q1,97
belgium,1.83374711266667,3.07586282361938,-7.934925,7.507409,1995-Q1,2024-Q4,120
bolivia,-2.13090161971186,7.20061037897291,-17.9404109716415,17.5574377179146,1985-Q1,2019-Q4,140
bosnia and herzegovina,-4.90467205413793,2.50210114697133,-11.911829,-0.42639804,2010-Q1,2024-Q2,58
brazil,-2.10885225627363,2.08364593450603,-6.23999983072281,1.892121,1978-Q1,2024-Q4,188
bulgaria,-3.41262546116129,7.61374214131881,-25.495846,20.421124,1994-Q1,2024-Q4,124
cambodia,-8.43169563519995,8.53247794780319,-58.274558001221,5.41713454934192,1994-Q1,2021-Q4,112
canada,-1.71440546078906,1.92903376137599,-5.1957784,3.715028,1961-Q1,2024-Q4,256
chile,-2.38565878975735,3.74167285885315,-11.76192,7.343248,1991-Q1,2024-Q4,136
china,2.70014183821641,2.58436720779051,-2.37215310335159,10.8799,1991-Q1,2024-Q4,136
colombia,-3.03617854862069,2.03261225371535,-6.948351,1.2256595,1996-Q1,2024-Q4,116
costa rica,-3.75852261442308,2.01963310684573,-12.19192,0.760482,1999-Q1,2024-Q4,104
croatia,-4.41361094626667,4.38428031180304,-20.038885,4.7704238,1994-Q4,2024-Q3,120
cyprus,-5.93504378012048,3.73605347364751,-15.954682,1.2475493,2004-Q1,2024-Q3,83
czech republic,-1.85941536535156,2.88553700819238,-8.129887,7.83289,1993-Q1,2024-Q4,128
denmark,2.72013752429534,4.76116894660988,-6.154988,16.50579,1977-Q1,2025-Q1,193
el salvador,-3.60938041256567,2.22671718062064,-8.23027612133998,1.28474162212333,1999-Q1,2020-Q1,85
