country_name,Mean CAB/GDP%,SD CAB/GDP%,Min CAB/GDP%,Max CAB/GDP%,Start Date,End Date,N
albania,-5.27276238222222,3.36968922756283,-11.264124,0.46124707,2020-Q2,2024-Q3,18
argentina,-0.182766326368421,2.04902456958708,-4.217372,2.6703,2020-Q2,2024-Q4,19
armenia,-6.50888012950201,0.0415810651255916,-6.53828238262128,-6.47947787638275,2020-Q2,2020-Q3,2
australia,0.453073159473684,1.82908634205645,-2.407364,3.531824,2020-Q2,2024-Q4,19
austria,1.56378965789474,1.62685431215672,-2.16739,4.886591,2020-Q2,2024-Q4,19
belgium,-0.0575923510526315,3.18984874543366,-7.934925,6.485687,2020-Q2,2024-Q4,19
bosnia and herzegovina,-3.10365833764706,1.65201275734177,-6.9423866,-0.42639804,2020-Q2,2024-Q2,17
brazil,-1.97368702631579,1.59119619808144,-4.516801,0.6422731,2020-Q2,2024-Q4,19
bulgaria,-0.733484348947368,2.3566055612131,-4.4139576,2.7888137,2020-Q2,2024-Q4,19
cambodia,-28.6608912950341,24.8833663936305,-58.274558001221,5.41713454934192,2020-Q2,2021-Q4,7
canada,-0.564771085263158,0.747669678127844,-2.203443,0.8620905,2020-Q2,2024-Q4,19
chile,-4.41977600526316,3.57125724309621,-11.76192,0.9847384,2020-Q2,2024-Q4,19
china,2.08082287368421,0.601898667890749,0.8134726,3.001734,2020-Q2,2024-Q4,19
colombia,-3.86521778947368,1.92744284034102,-6.896985,-1.466865,2020-Q2,2024-Q4,19
costa rica,-2.24459883157895,1.50084411144222,-6.37933,-0.352612,2020-Q2,2024-Q4,19
croatia,-2.32365152333333,3.29696570523747,-10.732156,3.3962472,2020-Q2,2024-Q3,18
cyprus,-6.94002038333333,2.22864628059138,-11.13707,-3.7911081,2020-Q2,2024-Q3,18
czech republic,-0.755988984210526,3.37721017983088,-8.129887,7.83289,2020-Q2,2024-Q4,19
denmark,10.62078525,2.60751617089539,5.181875,16.50579,2020-Q2,2025-Q1,20
estonia,-2.91015807894737,4.05822251593634,-12.44529,4.224936,2020-Q2,2024-Q4,19
finland,-0.456060596315789,1.90503471163257,-4.656013,2.679849,2020-Q2,2024-Q4,19
france,-0.691652405263158,1.24954554023951,-3.910105,0.9570931,2020-Q2,2024-Q4,19
germany,5.68238331578948,1.41096679265369,3.350054,7.628733,2020-Q2,2024-Q4,19
greece,-7.15375515789473,2.57305669990673,-12.81263,-2.974544,2020-Q2,2024-Q4,19
hungary,-2.07880622105263,4.3096149035227,-11.31197,2.80976,2020-Q2,2024-Q4,19
iceland,-1.49978448947368,2.04427958094075,-5.083526,1.930872,2020-Q2,2024-Q4,19
india,-0.721034447368421,1.69673512354731,-3.167986,3.946893,2020-Q2,2024-Q4,19
indonesia,0.0698574036842105,0.84473941738069,-1.31108,1.565192,2020-Q2,2024-Q4,19
ireland,11.2454489684211,5.4817129278733,0.8366034,25.32199,2020-Q2,2024-Q4,19
israel,3.51996478947369,1.10552874853994,2.005065,6.876309,2020-Q2,2024-Q4,19
italy,0.946888615526316,2.26139898510411,-4.136627,5.027513,2020-Q2,2024-Q4,19
japan,3.518543865,1.3869658647746,0.3310383,5.295128,2020-Q2,2025-Q1,20
korea  rep.,3.38492963157895,2.38160290443855,-1.002987,7.012321,2020-Q2,2024-Q4,19
kyrgyz republic,-2.0221987032206,16.4310804170595,-31.586889279037,16.0609945522099,2020-Q2,2021-Q4,7
latvia,-2.58214652631579,3.31681874469387,-6.693131,6.438822,2020-Q2,2024-Q4,19
lithuania,1.11012723157895,4.419706223815,-6.866877,7.661669,2020-Q2,2024-Q4,19
luxembourg,9.65595168421053,10.8103965956784,-6.440199,37.35165,2020-Q2,2024-Q4,19
macedonia  fyr,-2.60964007277778,3.86190036231872,-10.903168,5.1043735,2020-Q2,2024-Q3,18
malta,6.956634905,5.85960649496487,-5.7934808,19.992047,2020-Q2,2024-Q3,18
mexico,-0.0702738473684211,2.02841103733126,-1.964483,5.913221,2020-Q2,2024-Q4,19
montenegro,-16.5966686111111,7.71547425265005,-44.982009,-11.087827,2020-Q2,2024-Q3,18
netherlands,8.97576778947368,3.23733349128105,3.805549,13.43457,2020-Q2,2024-Q4,19
new zealand,-6.09621076842105,2.56706516907988,-9.517255,-0.3300016,2020-Q2,2024-Q4,19
norway,15.7872524736842,9.59743856505074,-2.719786,38.38301,2020-Q2,2024-Q4,19
paraguay,2.64520845839078,2.61369612821243,-0.323727359654683,4.59922139387815,2020-Q2,2020-Q4,3
poland,0.190912468421053,2.29596088557351,-4.917139,3.667284,2020-Q2,2024-Q4,19
portugal,-0.102543110526316,1.7310819364232,-2.725447,2.92506,2020-Q2,2024-Q4,19
romania,-7.61572358947368,1.80761045558482,-11.821531,-4.8509948,2020-Q2,2024-Q4,19
russian federation,3.9223195,2.76898626191939,1.712875,8.902834,2020-Q2,2021-Q3,6
saudi arabia,3.60633620526316,7.14652543342273,-13.15238,16.5469,2020-Q2,2024-Q4,19
slovak republic,-3.75147428421053,3.66885841475271,-10.52417,1.148375,2020-Q2,2024-Q4,19
slovenia,3.59999045105263,3.1079180364301,-2.761949,9.245972,2020-Q2,2024-Q4,19
south africa,0.488783915789474,2.62444671121021,-2.61067,5.66528,2020-Q2,2024-Q4,19
spain,1.66591072421053,1.35062362888603,-0.2843346,3.806514,2020-Q2,2024-Q4,19
sri lanka,-1.54919575813921,1.45769288103754,-3.02214896743669,-0.1531925858925,2020-Q2,2021-Q1,4
sweden,6.27782863157895,1.27032106915646,3.590092,8.199677,2020-Q2,2024-Q4,19
switzerland,5.48397064736842,5.3599480964198,-12.11504,12.01928,2020-Q2,2024-Q4,19
turkey,-2.93617031,2.2554459974872,-6.649781,0.1611445,2020-Q2,2024-Q4,19
united kingdom,-2.343028,2.09165218332229,-6.490581,1.69036,2020-Q2,2024-Q4,19
